genes	third_instar	fifth_instar	early_pupa	late_pupa	adult
lcl|KZ248545.1_cds_OWR45966.1_1	96.0003	30.339	0.0124802	0.0899292	2.01154
lcl|KZ248545.1_cds_OWR42929.1_2	124.615	37.5773	0.034802	0.0840839	6.90667
lcl|KZ248545.1_cds_OWR42930.1_3	456.115	847.396	131.024	565.632	960.317
lcl|KZ248545.1_cds_OWR42931.1_4	48.1653	140.809	1.22051	9.49159	3.49083
lcl|KZ248545.1_cds_OWR42932.1_5	36.748	4.07126	4.47042	3.65193	9.86698
lcl|KZ248545.1_cds_OWR42933.1_6	0.0	0.0	2.75719	0.605883	1.7408
lcl|KZ248545.1_cds_OWR42934.1_7	0.0212789	0.0	0.0	0.0287989	0.283599
lcl|KZ248545.1_cds_OWR42935.1_8	3.62807	3.06592	0.0712508	2.67938	1.38771
lcl|KZ248545.1_cds_OWR42936.1_9	47.0196	100.481	0.638021	0.53508	1.67596
lcl|KZ248545.1_cds_OWR51149.1_10	1.52099	1.17391	11.7686	22.8829	102.195
lcl|KZ248545.1_cds_OWR51150.1_11	27.9223	0.0395386	9.55115	19.2173	14.5373
lcl|KZ248545.1_cds_OWR51151.1_12	0.0	0.064512	0.195498	1.7913	2.26184
lcl|KZ248545.1_cds_OWR51152.1_13	0.33503	0.181951	1.12756	8.63031	9.89782
lcl|KZ248545.1_cds_OWR51153.1_14	248.836	130.127	451.204	284.778	167.48
lcl|KZ248545.1_cds_OWR51154.1_15	14.0749	9.68631	5.53586	12.1962	18.6648
lcl|KZ248545.1_cds_OWR51155.1_16	32.6926	18.0315	35.7263	22.8867	28.1573
lcl|KZ248545.1_cds_OWR51156.1_17	8.61271	2.35619	4.66775	5.11265	2.38917
lcl|KZ248545.1_cds_OWR51157.1_18	89.955	67.8369	30.5113	22.1415	29.21
lcl|KZ248545.1_cds_OWR51158.1_19	11.752	4.75161	13.4672	8.02401	5.09218
lcl|KZ248545.1_cds_OWR51159.1_20	1.20191	0.957421	5.051	2.1633	1.83408
lcl|KZ248545.1_cds_OWR51160.1_21	174.594	251.14	47.6582	227.899	437.118
lcl|KZ248545.1_cds_OWR51161.1_22	8.44364	3.81171	9.90832	5.81311	3.86924
lcl|KZ248545.1_cds_OWR51162.1_23	10.1554	2.37062	11.0031	20.3439	10.1158
lcl|KZ248545.1_cds_OWR51163.1_24	34.9107	6.23193	32.5166	43.705	40.2692
lcl|KZ248545.1_cds_OWR51164.1_25	3.17382	0.36354	0.286922	1.5097	0.408244
lcl|KZ248545.1_cds_OWR51165.1_26	8.53131	6.73491	9.03658	19.5317	29.1126
lcl|KZ248545.1_cds_OWR51166.1_27	8.54975	7.3801	7.4842	7.65645	5.39293
lcl|KZ248545.1_cds_OWR51167.1_28	0.133259	0.215629	0.999654	0.541382	1.68348
lcl|KZ248545.1_cds_OWR51168.1_29	20.2843	3.45926	33.781	8.10913	3.59121
lcl|KZ248545.1_cds_OWR51169.1_30	38.9813	16.1393	11.8678	28.3343	15.6904
lcl|KZ248545.1_cds_OWR51170.1_31	22.8641	8.99358	10.8397	10.5589	8.07168
lcl|KZ248545.1_cds_OWR51171.1_32	7.7546	1.05917	3.49158	1.57607	0.550336
lcl|KZ248545.1_cds_OWR51172.1_33	0.0670778	0.0545864	10.3377	2.33334	32.9407
lcl|KZ248545.1_cds_OWR51173.1_34	0.125298	0.0515978	22.9285	0.537328	2.27168
lcl|KZ248545.1_cds_OWR55128.1_35	3.6503	11.6343	4.85174	4.0417	17.5781
lcl|KZ248545.1_cds_OWR55129.1_36	40.2331	19.3752	12.9683	13.4907	68.4559
lcl|KZ248545.1_cds_OWR55130.1_37	120.699	575.92	2.32989	0.0	1.73886
lcl|KZ248545.1_cds_OWR55131.1_38	718.256	401.541	151.09	0.784108	0.33688
lcl|KZ248545.1_cds_OWR55132.1_39	2628.03	1870.2	169.613	110.762	1.32282
lcl|KZ248545.1_cds_OWR55133.1_40	1.58773	0.714012	1.42148	1.0617	0.684142
lcl|KZ248545.1_cds_OWR55134.1_41	3.14988	1.58076	3.31628	2.02109	0.923492
lcl|KZ248545.1_cds_OWR55135.1_42	17.7563	53.6097	6.71621	7.17749	10.0708
lcl|KZ248545.1_cds_OWR55136.1_43	1.51359	5.68928	2.56658	10.0784	10.1572
lcl|KZ248545.1_cds_OWR55137.1_44	0.178436	0.0213361	0.103091	0.202512	0.202699
lcl|KZ248545.1_cds_OWR55138.1_45	67.0808	49.5934	19.8212	20.4008	21.541
lcl|KZ248545.1_cds_OWR55139.1_46	2.82085	24.2244	0.626016	0.0582541	0.111404
lcl|KZ248545.1_cds_OWR55140.1_47	87.7185	8.48643	5.22519	1.31505	0.0697026
lcl|KZ248545.1_cds_OWR55141.1_48	4.45435	18.165	0.206973	0.11548	0.0518428
lcl|KZ248545.1_cds_OWR55142.1_49	0.204471	0.425353	0.0	9.26718	24.3324
lcl|KZ248545.1_cds_OWR55143.1_50	2.16184	6.00909	0.64825	28.0947	23.2007
lcl|KZ248545.1_cds_OWR55144.1_51	2.0749	0.0	3.40717	5.20508	6.79899
lcl|KZ248545.1_cds_OWR55145.1_52	0.180368	0.0886723	0.57605	0.698939	1.09329
lcl|KZ248545.1_cds_OWR55122.1_53	2.51444	1.15368	4.17703	1.06386	1.2037
lcl|KZ248545.1_cds_OWR55123.1_54	4.52407	3.01198	4.1519	4.46427	12.3429
lcl|KZ248545.1_cds_OWR55124.1_55	0.139656	0.0	0.0573393	0.0	0.0379006
lcl|KZ248545.1_cds_OWR55125.1_56	44.1006	20.9679	46.9836	22.2284	8.9
lcl|KZ248545.1_cds_OWR55126.1_57	2.43328	1.43259	4.20417	2.64561	4.08063
lcl|KZ248545.1_cds_OWR55127.1_58	0.66291	6.84526	0.0689109	0.0795136	1.06278
lcl|KZ248545.1_cds_OWR55114.1_59	38.6506	23.7951	1.72583	2.27033	15.1385
lcl|KZ248545.1_cds_OWR55115.1_60	16.1648	3.58963	5.98318	14.6299	3.11076
lcl|KZ248545.1_cds_OWR55116.1_61	1.0065	0.48887	1.35279	0.702373	2.24283
lcl|KZ248545.1_cds_OWR55117.1_62	1159.15	1620.36	2884.49	1292.52	1375.48
lcl|KZ248545.1_cds_OWR55118.1_63	3.63627	0.881349	3.34961	3.8238	1.10783
lcl|KZ248545.1_cds_OWR55119.1_64	9.72286	5.83653	7.19792	5.75142	6.50178
lcl|KZ248545.1_cds_OWR55120.1_65	0.860051	1.46974	1.4843	1.97478	6.36071
lcl|KZ248545.1_cds_OWR55121.1_66	6.38775	2.03538	5.489	6.77562	6.02339
lcl|KZ248545.1_cds_OWR54893.1_67	0.0	0.0	0.0	0.0	0.0
lcl|KZ248545.1_cds_OWR54894.1_68	17.3934	9.04061	12.5535	52.6022	27.274
lcl|KZ248545.1_cds_OWR54895.1_69	50.2973	25.0295	26.3536	25.684	12.7354
lcl|KZ248545.1_cds_OWR54896.1_70	6.26404	2.37909	7.81346	3.66366	2.07617
lcl|KZ248545.1_cds_OWR54897.1_71	38.1525	38.1242	54.0164	4.99953	19.265
lcl|KZ248545.1_cds_OWR54898.1_72	1.4322	0.601439	1.28997	0.589737	0.46365
lcl|KZ248545.1_cds_OWR54899.1_73	2.2739	0.883297	6.04598	2.86622	1.99135
lcl|KZ248545.1_cds_OWR54900.1_74	0.0711745	0.0	0.0	0.52725	0.0
lcl|KZ248545.1_cds_OWR54901.1_75	0.274661	0.0292404	0.34839	0.541864	0.1469
lcl|KZ248545.1_cds_OWR54902.1_76	23.9491	24.0465	106.509	18.4413	20.447
lcl|KZ248545.1_cds_OWR54903.1_77	0.0	0.0	0.0	0.00896596	8.87219
lcl|KZ248545.1_cds_OWR54904.1_78	0.0	0.0	0.0617404	0.0299426	11.7719
lcl|KZ248545.1_cds_OWR54905.1_79	114.454	58.2562	25.8626	14.1378	16.9177
lcl|KZ248545.1_cds_OWR54906.1_80	37.0175	16.008	31.3984	19.2712	13.1705
lcl|KZ248545.1_cds_OWR54907.1_81	4.0076	1.26442	4.73338	4.76597	1.39341
lcl|KZ248545.1_cds_OWR54908.1_82	41.6319	16.8059	31.6044	25.3981	16.5984
lcl|KZ248545.1_cds_OWR54909.1_83	74.3558	43.2808	50.8031	29.0706	20.0838
lcl|KZ248545.1_cds_OWR54910.1_84	31.8351	16.0511	33.703	18.8172	23.1487
lcl|KZ248545.1_cds_OWR54911.1_85	47.9675	21.5851	39.142	27.3985	14.4745
lcl|KZ248545.1_cds_OWR54912.1_86	35.4605	14.9855	19.2842	38.1103	12.971
lcl|KZ248545.1_cds_OWR54913.1_87	9.56915	4.06363	7.48882	10.6644	4.00622
lcl|KZ248545.1_cds_OWR54914.1_88	2.75924	1.7053	3.33905	2.44279	2.15263
lcl|KZ248545.1_cds_OWR54915.1_89	3.25711	1.47426	2.64555	1.25451	1.55224
lcl|KZ248545.1_cds_OWR54916.1_90	4.2913	4.47034	0.0594199	0.893978	0.243453
lcl|KZ248545.1_cds_OWR54917.1_91	7.73721	4.84488	49.1893	9.76889	16.2141
lcl|KZ248545.1_cds_OWR54918.1_92	5.99341	4.12394	48.3005	10.7518	14.3934
lcl|KZ248545.1_cds_OWR54919.1_93	1.40546	0.274196	0.753451	0.424451	4.62822
lcl|KZ248545.1_cds_OWR54920.1_94	16.8569	6.20607	28.8703	3.29838	11.2486
lcl|KZ248545.1_cds_OWR54921.1_95	29.9748	16.8009	23.7111	19.4221	16.5195
