"","mtstpEii125","mtstp3ci13","mtstpEci42","mtstp5iu98","mtstp3cu2","mtstp5cu17","mtstpLiu130","mtstpLiu133","mtstpEcu38","mtstpAci74","mtstpLci58","mtstpAiu148","mtstpAci73","mtstp5iu100","mtstpLiu131","mtstpEci41","mtstpEii122","mtstpAiu147","mtstpLci64","mtstp3ci12","mtstp5ii105","mtstpEiu115","mtstp3cu8","mtstp3ci9","mtstp3ii90","mtstp3iu83","mtstpLii137","mtstpLcu53","mtstpAcu66","mtstp5cu18","mtstpEcu36","mtstp5cu21","mtstpLii140","mtstp3iu84","mtstp3iu82","mtstpAiu146","mtstp3cu3","mtstp5ii108","mtstpAci76","mtstpEiu113","mtstp5ci28","mtstpAii157","mtstp5ci26","mtstpAcu69","mtstpAcu68","mtstp3iu81","mtstpEiu117","mtstpEii123","mtstpLcu49","mtstpAcu67","mtstp3ii92","mtstpEiu114","mtstpEci44","mtstpLci57","mtstpLcu56","mtstpAiu145","mtstp3cu4","mtstpLcu50","mtstp5ci27","mtstp5ii112","mtstpAci75","mtstpEii124","mtstp3cu5","mtstpAii156","mtstpLiu135","mtstpAiu149","mtstp3iu85","mtstpAii155","mtstp3ii89","mtstpEcu34","mtstp3ii94","mtstp3ci10","mtstp5cu19","mtstpEcu33","mtstpAii154","mtstp5cu20","mtstp5iu97","mtstpEci45","mtstpEci43","mtstpLiu129","mtstp5iu99","mtstp5ci25","mtstpLii141","mtstp5iu101","mtstpEii121","mtstp3ci11","mtstpLii138","mtstpLci60","mtstpAcu65","mtstpEcu35","mtstpEiu116","mtstpAii153","mtstpAci77","mtstpLcu52","mtstp5ii107","mtstp5ii109"
"mtstpEii125",0,277929.831733732,72138.9420612846,281075.156189056,277721.313592803,282818.416851765,270459.118527839,285159.335311813,156485.581543922,309214.075850147,273244.094396214,274936.319023965,297487.067697422,282881.949397264,277438.532149943,29864.734242288,31017.7845857053,285483.69802874,265307.441102497,283602.099418204,285755.182056298,45300.8629789948,276592.902479905,279257.14045967,282538.219324801,280569.267533827,273330.139112447,287238.910911355,298603.597046594,284339.222604386,108564.194724881,282780.190472469,273446.977117496,280094.807154316,280490.380486715,307263.740333045,280106.526409792,286932.599654333,288562.483001347,163723.163935042,285691.306692285,296987.48846703,285992.59504356,284554.54318923,272457.862352183,278823.716138534,105805.171996677,128823.047017836,273610.750280889,328841.077523933,283097.078664403,49456.2531772449,51015.6101826309,269887.874148658,273945.530673068,306310.978496307,280531.36502096,276097.708600577,284660.677563805,285827.853477651,269662.275526039,51411.0551406968,277436.065599217,342875.836840353,267530.570125373,301593.147989311,278193.866095121,299413.936071183,279908.90364116,49650.4096152647,281744.131812642,289155.109885082,283422.239841636,113472.37407468,289405.094615886,282936.075955113,281158.820355347,62067.864484573,69804.7088934861,277366.407528787,281504.504012811,284618.232033059,273753.505012867,288227.151099049,99088.0839358921,279942.040220552,276763.836609315,289210.928062585,292494.274029038,85712.3963053909,58153.5185454675,293138.526827118,306337.281646339,278275.54298309,283118.650728125,287385.122462494
"mtstp3ci13",277929.831733732,0,210289.611296672,57072.1825098836,11799.3256628172,60811.0356171158,69113.7448503664,101836.829751407,128097.706134021,199854.675620671,88328.7428310231,120401.725614212,181182.049423928,63550.3264883039,79669.4051291892,257112.215247099,305005.235695077,154224.322354111,77401.4076685984,40598.6350424068,86663.2992552892,244555.264237774,17642.2973192336,20904.8795275027,36534.8010507864,26614.7459018323,86216.8302788252,128400.564631327,172528.733312195,75039.5986837661,173559.073054914,61795.4212122072,68834.493634289,23955.6037009528,26198.0566865405,188254.719769659,27965.4959538502,90057.2151943594,150522.851369517,155403.283210854,74678.1049847566,172591.285640055,84136.7001335659,151884.814590919,93976.0137404902,15985.2619947531,177531.91654034,158509.777295935,77661.2429831908,234515.471759396,39668.8967233029,239670.146507673,237513.701648833,80968.5881727955,87461.5839837164,184756.560323773,26760.3690555728,88405.4253457214,69926.673639106,90309.6433879712,96615.1130194584,233234.543413467,18665.3119769283,266014.533408211,79458.5029088411,178947.265309942,44501.9540101408,172371.710766708,48889.6384201661,237010.485247839,35007.9988538032,65214.7647599107,70208.8892364148,172591.418861284,145691.925143437,59827.3625459331,74175.4032640359,218684.870418608,212287.989201856,90422.8718776455,58426.1783099562,78581.9558809667,83138.2150227531,94633.9068280023,184608.239414722,26169.4686398701,82178.0857968826,114894.290460109,179734.157154061,197092.178435813,222256.419045108,165489.768990638,196198.475406941,83424.8174268335,67976.1227755658,89664.9787656727
"mtstpEci42",72138.9420612846,210289.611296672,0,215276.255385137,210160.866054304,217675.368654996,204041.077478472,221694.48102547,89894.1406840108,256751.281123358,207763.626672934,212150.719768856,242485.028993354,217707.556638067,211928.538975421,48921.5950309113,99108.9409240313,227336.596435812,198691.420960785,217762.397000988,221792.840777767,48730.5381438701,208707.714461366,212290.262186712,216388.608934919,213804.633937307,208567.735638395,225728.579332809,242738.419864853,220219.821328534,44268.9028231109,217459.968777862,206968.292635845,213227.752334733,213687.458475864,253266.945642893,213586.330612705,223673.875508514,229471.993691858,103884.403731164,221701.337933578,240997.544388138,223201.378575432,226054.263269189,207375.364415643,211547.999204888,45709.8421356653,65525.4121291958,207452.279556578,280936.375728436,217127.149245944,35461.1726264484,39956.1180065717,203484.689481586,208681.036428702,251730.233751011,213789.965348309,210978.487890616,219897.41482817,221869.677429337,204222.702409689,34687.888670098,209545.278208666,299183.07567297,201449.393891535,246373.971248081,211562.808758567,243367.17450502,213531.387039157,30198.196397157,215532.386771158,225112.88959003,218751.854618814,47820.1723525626,230015.661975583,217467.459438595,215607.36904351,19623.4273711928,16397.8785809477,212535.539382395,215845.845645744,220697.184746359,207987.35476215,226387.377590373,38198.7186522338,213255.283237346,211064.306892261,226979.907513093,237436.527037206,24220.9201592808,26265.1390855266,236368.294430147,253288.062049133,213031.611958614,217893.705260217,224642.862116813
"mtstp5iu98",281075.156189056,57072.1825098836,215276.255385137,0,56252.4441988269,26344.6867736888,85892.0276937559,112919.310823394,136065.07339176,206233.725000321,102765.559695178,130817.889215432,188218.075868699,15765.4620263873,96089.7610449879,260823.346355013,307731.706313949,162356.195103077,93311.5790298503,75159.5229155937,60325.5891194719,247599.891434032,57515.4198801932,62462.9235492649,73380.4126072856,64263.454454274,100170.425091539,137945.041398978,180093.063095011,36215.4317004737,179398.945724571,19855.7765494709,87400.9732973905,62237.4068789283,64518.5697307438,194892.318504947,65251.3484610862,61188.1584477272,159037.904849322,159788.141013691,30545.3510903403,179965.096801471,50740.785472891,160393.581492156,107451.905430128,58822.0205235238,182608.291223433,163515.579196683,93893.8364788607,239787.085566716,72414.8478603124,243490.209572321,241773.139566608,95949.8418771719,101461.95771245,191389.161629448,64447.5380906205,102840.853664067,28497.859033101,77058.8593042878,110311.786548859,237122.450366183,55917.3718976064,270594.443132737,93360.6541338319,186001.79191161,57946.4011686285,179742.322968172,63077.5774479377,241060.256087521,71108.8468930489,91911.3217758342,32486.8156922866,177398.254181537,154672.779163584,33053.9886372308,74562.6686564289,222786.061130168,216822.71793245,104644.992152607,13053.8040539308,49508.9604656225,97737.3086542909,60379.916219073,189703.854723231,64105.9391974612,97045.4042308856,125777.732142846,186562.896144035,201622.49597053,226605.152941032,173268.127359968,202698.652830844,98340.2798193348,31349.1117860174,60938.2556256838
"mtstp3cu2",277721.313592803,11799.3256628172,210160.866054304,56252.4441988269,0,59734.3638698216,70919.7097426391,102816.719062581,128007.662116727,200311.045261794,89647.479075978,121064.528132362,181666.692922939,62679.665799893,81481.1105408579,256928.22750017,304783.159479216,154761.396280964,78881.4968279402,41236.2583104901,86680.1989510787,244299.118490744,17737.2184228956,21511.0032837074,37226.2136282815,24361.1783264507,87445.2611619422,129011.250171033,173081.733554703,74264.2592046319,173408.092560637,60968.2504668666,70840.4808334043,20426.8622430354,24245.0924384869,188607.577586584,26142.0375505769,90084.2331188495,151209.030037695,155386.260763189,74231.610056115,173141.946647843,83731.5457041013,152436.337846841,94971.7594365536,13173.7268765805,177379.868480235,158456.633524309,79122.5836574272,234805.769320785,39128.0057805095,239451.958261468,237343.095042285,82355.7259127633,88641.3267518356,185165.216439243,25240.2653862134,89636.109417763,69160.7961547686,89914.4994116923,97976.9820373525,233051.794582837,19488.8709612055,266310.13129054,80532.4831744251,179397.480399674,46030.6314532313,172835.656800333,50318.2093163921,236798.664581619,35367.2065544669,64487.2782532832,69377.4340104068,172456.332469241,146380.833939994,59659.6131063771,74655.3117399978,218541.417547615,212138.596285107,91668.9340569165,57976.465630117,78447.2681140344,84520.6331761932,94172.661634197,184513.354159552,24740.8560252463,83498.3751838542,115891.493271361,180183.332708328,196929.936416537,222056.352482155,166000.864706318,196697.73783687,84828.0156199304,67630.1255583467,89755.488262094
"mtstp5cu17",282818.416851765,60811.0356171158,217675.368654996,26344.6867736888,59734.3638698216,0,88556.3438604428,115176.544640259,139838.790841495,208078.784047443,105774.379749956,133701.696251881,190263.761086203,20125.7671816347,99065.7516769277,262869.862189376,309320.704461738,164603.7971898,96413.1649282451,75690.6673320689,80111.7457623049,250024.636091213,62772.7297067703,64657.3005517465,74947.7085178624,67004.6171677748,103511.840161225,140356.103422081,182104.331953203,48830.0881260912,182351.054049488,15618.4682505908,90635.8775355224,64286.8118309956,66997.9374563687,196921.354507716,66718.3373832521,81284.4918058195,161325.998454151,164321.699797499,22166.7066133329,182111.520214137,62505.7677070816,162691.811527306,110788.739679975,62598.9526475976,185676.936456213,167501.548551726,97035.0532934961,241464.719348036,73990.7362489038,245734.501180564,243822.434187828,98952.7052125885,104301.353246923,193295.76120762,66536.8440303604,105826.211515895,17406.8250802212,93534.5636229786,113420.721184453,239477.201385009,61610.5971522506,272040.372667533,96826.2467616293,188054.260852176,51758.0705447116,181880.544716528,58090.6214489608,243272.214591514,72101.5910292558,91014.8219336555,48161.5381876165,180896.449083144,157096.279033392,25382.0926725333,86963.0995654737,225249.801385118,219343.82739086,107600.94556382,20557.9720920562,67044.655659909,100717.34551548,74594.938783678,192713.434024049,65800.1674998697,100149.966818402,127928.534765333,188551.974593048,204448.650340134,228764.837035515,175444.215086046,204594.682061742,101303.701369727,51634.7089608768,78419.3882853264
"mtstpLiu130",270459.118527839,69113.7448503664,204041.077478472,85892.0276937559,70919.7097426391,88556.3438604428,0,62702.9315715106,128584.788457055,193918.751996874,58772.6878163257,115896.434806025,173555.160734586,90815.6861655561,62580.2118313779,249014.60904081,297000.092371792,148558.432332281,32884.8012822341,88951.2900742029,105551.401575896,238779.441258901,68081.0786190074,76961.1715058084,85818.53013803,79955.8570811894,57227.9990128546,94889.644734766,166818.067494314,99045.0974140546,170129.043341364,88391.1817995052,29364.8359456409,78348.3490889451,78188.2860277623,184057.720458088,80520.1333577142,108972.497782931,144245.630963229,148949.920584591,97985.8141396837,168019.623590315,105557.550582205,146419.001276871,94652.0303283659,73331.6985372785,174993.239890092,156517.416761778,39343.8321187596,228192.225842473,88149.8164858174,231716.770790492,230124.613095164,35631.2149583781,43472.2393622962,178170.857312407,80464.2171420315,57068.154659345,95307.9789476408,107896.045849266,89203.5418597338,227646.509507216,67789.8263359072,258499.517986218,39854.8515170597,173718.329071262,71873.7836944334,167939.523215296,77226.5146348993,229297.537593862,84567.2663653001,107626.304900095,94836.6970563604,168108.428060699,142941.664101801,88076.7616746316,94742.2031193434,212803.588067654,206261.189503354,51522.7779756071,86243.4911079342,102131.854214673,54665.8562630323,112505.378513444,180928.039443623,79436.1732351726,46143.8421913105,75015.5375982086,170533.817550109,191755.818398923,216894.817462636,160309.458203156,189416.07363921,42442.6323750548,93407.1074946549,108019.606220416
"mtstpLiu133",285159.335311813,101836.829751407,221694.48102547,112919.310823394,102816.719062581,115176.544640259,62702.9315715106,0,151701.551875378,210594.718579665,65521.903904252,140536.221433397,192073.002740906,116695.610570422,91778.912936511,264680.511811386,310936.419224396,168874.883674035,54555.7400280896,116188.465661208,128395.873967175,254213.495030413,100796.576994057,107235.264093858,113777.39583398,109239.520549166,60233.9372909122,60471.2778510276,185201.156611173,123301.029393686,189343.296313991,114758.344249429,48492.1727041224,108131.599078796,108349.069622607,200453.042869698,109956.95904499,130949.969639307,165712.527795286,170731.559844345,122209.432493846,186317.375226386,128677.886512457,167444.678385881,123238.311154786,104634.960598987,193691.808205603,176662.457890207,50672.6974687145,242372.272925173,115454.783192978,248103.755141607,246532.243548424,51438.0279014694,44705.2828620769,195337.366227082,109517.602686122,56088.0707832228,119999.122396553,129921.474056993,121547.970293901,243675.366614927,100933.921452689,271421.620903592,39446.1614085709,191246.146249021,103700.169856561,185607.323602908,107063.690492095,245822.185132885,112832.320345893,130703.983349328,120198.984647399,187892.667057521,163503.087147886,114198.691541885,119027.165137398,229810.148302558,223684.769081435,33867.1034203591,113404.738029058,125445.216508787,66817.0534782206,134341.395050677,199441.876064848,109100.361571981,40551.8909548747,27907.9815814738,189762.004705741,209793.329028092,233474.711046512,179100.505163495,206402.71554923,34711.7526238935,119025.266131743,130858.753005061
"mtstpEcu38",156485.581543922,128097.706134021,89894.1406840108,136065.07339176,128007.662116727,139838.790841495,128584.788457055,151701.551875378,0,214075.822700622,137135.114610605,150884.261572857,196568.025707387,139710.959912636,139096.488333522,135706.785296214,184418.028572952,174948.015422732,125681.200349356,140171.869182399,143697.485285028,122583.99387856,125328.888286154,131634.428628175,137905.720699611,133782.203633721,135266.181252323,163974.794624248,193393.138372708,142076.742593717,50584.3353707537,139136.278764623,131054.50518076,132805.623332455,133426.464170812,206477.696948024,133916.158578419,146193.393459612,175205.455808456,70036.132869589,145094.538667908,191975.98732262,145010.884301777,173149.039205571,138106.778264713,130083.047211932,55721.6591253673,39528.3951400649,133592.576681967,244264.397449779,139162.908321425,118455.08748901,115479.158544627,130966.45468404,137073.900232462,204216.143981689,133757.950504799,139778.889339583,143101.151454883,141919.311563285,137384.171026599,112318.640681776,126574.48529457,269611.078827816,127752.081382371,198375.826965372,132480.450417526,193329.812011755,135195.496157988,115886.180879528,136847.958290315,151541.030773634,140004.696740548,52219.355689003,173432.607350915,139431.258066599,132004.042253514,95629.5270970789,89214.0890852246,141286.419487344,137010.72175017,141948.061157015,135667.984122899,149493.294907209,61644.8840420555,133230.803514006,137814.052443547,160472.161670865,192668.547119942,74878.3581059446,101107.629287617,185635.45853658,210104.83935706,139809.790450359,138959.09300699,147326.623667782
"mtstpAci74",309214.075850147,199854.675620671,256751.281123358,206233.725000321,200311.045261794,208078.784047443,193918.751996874,210594.718579665,214075.822700622,0,173631.591692629,84449.6163929925,27681.0000355272,208603.660934012,182079.885637063,289336.051523634,331167.652437781,54364.8257032504,189548.774592688,207634.241914081,214496.51331241,287540.600845764,199209.906437709,202562.272295206,206248.8024751,203704.781507039,206388.003122307,201717.963558401,36312.9305514398,211754.580038784,238036.654868061,208033.970781641,196109.982142448,203090.080134527,203447.234420879,23020.4664212633,204109.168859087,216175.348259148,57038.8266688526,213064.545866903,212550.979396152,35627.4777075293,215027.569769198,54782.4378030128,113404.886178353,201273.865358563,243193.399669481,230038.291835222,192627.139244401,39783.7222387525,207123.376746386,275049.156213782,275466.186465143,191518.309729971,199532.575921081,31775.2069590708,203738.974746715,185279.222875033,210843.24003694,215464.917444608,125124.187462298,278239.527801765,199360.41958359,70111.3206972862,196545.909656116,28777.9221255606,202113.061585781,36155.8530691746,203759.908731002,273735.644363016,205387.210950111,215926.470466907,210083.413294855,232802.24984022,58114.8598805806,207895.620902002,209021.905670195,264761.745143658,259464.648317558,197735.976231349,206489.681144396,212840.050123335,179435.326480142,218576.742549899,244952.077075883,203535.057874743,191109.567494152,214891.766643253,36744.0593572826,249641.715194085,269707.298143598,40221.7286688733,19051.7126091732,201723.473136294,209108.675451165,216587.825247012
