"","mtstpEii125","mtstp3ci13","mtstpEci42","mtstp5iu98","mtstp3cu2","mtstp5cu17","mtstpLiu130","mtstpLiu133","mtstpEcu38","mtstpAci74","mtstpLci58","mtstpAiu148","mtstpAci73","mtstp5iu100","mtstpLiu131","mtstpEci41","mtstpEii122","mtstpAiu147","mtstpLci64","mtstp3ci12","mtstp5ii105","mtstpEiu115","mtstp3cu8","mtstp3ci9","mtstp3ii90","mtstp3iu83","mtstpLii137","mtstpLcu53","mtstpAcu66","mtstp5cu18","mtstpEcu36","mtstp5cu21","mtstpLii140","mtstp3iu84","mtstp3iu82","mtstpAiu146","mtstp3cu3","mtstp5ii108","mtstpAci76","mtstpEiu113","mtstp5ci28","mtstpAii157","mtstp5ci26","mtstpAcu69","mtstpAcu68","mtstp3iu81","mtstpEiu117","mtstpEii123","mtstpLcu49","mtstpAcu67","mtstp3ii92","mtstpEiu114","mtstpEci44","mtstpLci57","mtstpLcu56","mtstpAiu145","mtstp3cu4","mtstpLcu50","mtstp5ci27","mtstp5ii112","mtstpAci75","mtstpEii124","mtstp3cu5","mtstpAii156","mtstpLiu135","mtstpAiu149","mtstp3iu85","mtstpAii155","mtstp3ii89","mtstpEcu34","mtstp3ii94","mtstp3ci10","mtstp5cu19","mtstpEcu33","mtstpAii154","mtstp5cu20","mtstp5iu97","mtstpEci45","mtstpEci43","mtstpLiu129","mtstp5iu99","mtstp5ci25","mtstpLii141","mtstp5iu101","mtstpEii121","mtstp3ci11","mtstpLii138","mtstpLci60","mtstpAcu65","mtstpEcu35","mtstpEiu116","mtstpAii153","mtstpAci77","mtstpLcu52","mtstp5ii107","mtstp5ii109"
"mtstpEii125",0,1289915.71792574,347570.770890905,1346264.05117605,1278245.64990921,1344584.8649203,1233040.05770582,1255592.49636404,617724.676716145,1211414.37836245,1282445.5736741,1206122.07875849,1216775.0038523,1337234.00312474,1401994.955971,167923.644915012,169846.09336656,1228718.63549136,1179513.778788,1312126.30736004,1229143.64165136,290541.180859253,1257180.5684132,1288610.94258978,1322267.40436895,1286942.2018479,1190745.09388709,1349097.83704266,1270401.97079398,1319684.68470449,454468.261638322,1347099.09375637,1222655.31669947,1285756.34891934,1281174.19574519,1191586.81865301,1288195.43925619,1237198.80529583,1226020.98872295,561048.688581655,1333104.9130955,1195910.13201874,1325023.78845893,1245442.56188636,1228464.0632512,1284695.91932523,478682.545214422,563530.509068155,1227726.0344482,1259511.14897246,1291596.23273666,221452.448764935,237565.581865328,1191805.8291579,1221719.52294578,1269148.0637267,1290383.74886539,1327457.25576715,1347297.32301117,1190273.60370227,1253467.26891168,293377.267923238,1264898.45855112,1248024.3854831,1202100.43955597,1263586.10657141,1322927.57871304,1234180.25933543,1339794.99155424,237400.197235759,1303858.80516368,1311052.78694988,1323438.82953907,456041.196655606,1223514.43739846,1352854.34252603,1177413.65129619,275777.657233277,330665.725921758,1261735.75611429,1327547.07818284,1292021.54456927,1286663.94042707,1299622.16842792,418494.938594652,1281283.11515609,1292298.0447891,1281947.36068707,1202747.26019066,355033.633613683,284256.742678738,1180976.30690029,1231164.92964866,1233666.81726505,1316875.4761164,1295184.8699739
"mtstp3ci13",1289915.71792574,0,1169201.72185907,686379.283546323,205381.254741361,652578.56591514,938991.030330208,1041792.69112165,972038.083599375,1190677.83659869,1072948.62742165,1075613.02257483,1192657.0268118,707026.154229536,1172042.01054352,1264829.93668743,1312433.43231423,1151860.13507899,966275.410509119,192536.239049574,819550.60145079,1237539.61784504,242838.383698528,170597.446086746,252807.936901962,227739.923133826,986484.793265346,1259984.27688348,1192570.51738884,825212.573775852,1091476.3611127,681757.162913209,893713.546265493,250677.04151873,259032.715480296,1132420.74888869,229856.78275517,814404.924720883,1139620.49266404,1184871.48825805,731026.266814558,1121970.81068284,847633.477821699,1153999.92260061,1025165.00612282,210822.497906785,1074078.99326956,1062607.87889608,960978.014932004,1304683.74557002,243475.473399092,1288170.40514384,1251601.39327023,982121.408021925,1036353.29592874,1208511.67654112,237405.802993677,1117842.96878093,683771.715051592,797577.067084433,1118773.10948835,1188269.81517245,218035.055912016,1342526.17062333,1021338.84440108,1190907.84452109,535524.584975449,1169323.31501659,573946.436912057,1255165.74171284,214683.372936929,292100.960193752,793599.600658036,1108383.36775694,1104387.36875938,650379.771985097,708862.136921121,1167223.97933692,1134268.39163733,1019679.22134485,666694.816097284,828389.178769737,1069328.83641289,883015.06971397,1092773.7983585,262210.531152556,1064370.15970061,1066060.2993697,1186183.35732968,1177522.62879877,1192989.07210273,1108948.3933705,1219094.69675311,957815.063548754,760859.18666646,846361.55973049
"mtstpEci42",347570.770890905,1169201.72185907,0,1298067.82177769,1157805.18432247,1300798.48771586,1141714.16619116,1183525.6367844,484570.72716806,1168521.58894113,1221764.69054968,1041570.39068302,1153337.26189198,1298993.24621585,1351817.51820258,281409.693067543,371634.515267642,1168239.2440634,1066422.66391863,1200246.51161174,1172366.2749165,307824.354614221,1131320.91533854,1173756.29820514,1208553.16844646,1170075.77455835,1048364.99533963,1304445.28682379,1219929.37422838,1294029.1671829,309156.78205078,1308105.607644,1123567.84666345,1178046.44891533,1163539.19134439,1133441.83637344,1182606.29523751,1183503.73818899,1139606.44844956,542404.765261158,1305299.69458013,1146185.40012792,1301254.36870508,1102095.84688115,1141427.08170668,1168309.96440974,303688.520101359,404452.443079595,1136995.13993339,1196095.44187217,1179915.89458252,299940.737233633,306092.877039013,1038148.28723055,1080593.59676317,1190526.36581452,1181905.76095221,1235699.22684805,1300198.92101717,1099298.77999197,1152898.88170692,226345.085395636,1144524.14221645,1252355.34453151,1007186.58178685,1162083.04342818,1230083.88048435,1114104.10539271,1246517.37096396,265589.742920913,1192086.26889613,1207222.98041891,1296771.58468803,328800.459236079,1143443.80597158,1297182.81452083,1049008.18382228,214375.324666334,213849.600431879,1188374.77462935,1279962.3665602,1260861.56672467,1230711.15106885,1284745.35296461,295494.764780719,1176504.68632947,1114661.49835709,1220319.66079366,1159777.08273347,235100.891994639,207997.197056756,1126025.62858995,1172008.59008088,1146115.73434229,1276275.98417405,1268972.30107116
"mtstp5iu98",1346264.05117605,686379.283546323,1298067.82177769,0,642675.235028897,228692.648897975,1078921.94307363,1134689.51148422,1134210.58006504,1264150.88937126,1182576.76178537,1182342.57487884,1272725.41335694,170055.02029568,1261922.54267518,1339402.65204783,1385428.61462986,1226552.83282835,1108143.20260845,680886.751346324,604471.655630241,1293683.44080409,706842.012059872,669801.400211031,691608.74664987,626405.371209789,1127636.79292735,1307516.57151607,1265976.04680803,375137.033581183,1221577.32877352,217290.238451418,1067498.45273421,622066.009087393,652718.581079083,1203157.06398509,629959.189563708,611715.439274873,1227706.68081117,1250344.90407349,262621.418091509,1200628.29377894,446595.441667255,1247289.94516699,1131257.06900844,616339.903652707,1182729.3192969,1171303.03064754,1107398.49085577,1351742.84478107,616602.534833371,1341298.60532525,1347031.17016486,1123662.70098268,1156766.63197707,1275023.44533266,644970.838043481,1215542.47709007,259953.599612368,749889.917190964,1215915.67173512,1280595.0702275,656432.990183175,1395030.79702981,1132365.47613972,1267223.47253666,731822.916520242,1248469.53885577,771642.562238913,1327660.22554288,677239.447529532,668324.220902774,337393.006637531,1189897.81040173,1197349.38964642,311717.215860039,865149.079725448,1248576.40733012,1241963.56157622,1133902.15275948,159991.630764428,484250.632165729,1173681.66411025,500679.826222887,1209717.05420702,639472.499921645,1191294.34674537,1166106.27744338,1248776.04494571,1244533.20105066,1298038.03443649,1199073.00180636,1290590.69954742,1090545.52713673,331610.42360305,529678.504568962
"mtstp3cu2",1278245.64990921,205381.254741361,1157805.18432247,642675.235028897,0,597947.056722244,951571.597970863,1042427.33005233,948924.949135891,1209905.98517373,1101490.33420022,1086478.91674015,1214799.99082182,667201.043518632,1198555.70913884,1249714.5598938,1300538.33800261,1167345.32127824,978308.976353999,285129.866530739,801220.838403602,1216495.80244435,200955.569131529,204059.387797332,304334.074800203,159630.673191932,994929.342143654,1257860.42441464,1211395.82990611,783462.979706445,1074905.16125606,634138.032885241,921454.139407707,198981.365721751,200706.715878075,1138894.7714553,201077.463041764,805547.898807237,1163748.52285879,1166822.96229637,713992.611487888,1142948.29301842,821766.229673314,1171512.59264321,1039045.85576579,157696.673491115,1057204.49854045,1051900.64048717,973964.579128076,1312060.86777255,259807.587034113,1267734.15255439,1239641.28305806,989300.282184791,1036458.13430773,1219457.85288255,223216.975012051,1137363.66240838,664119.595338218,768973.365820806,1146941.58346635,1175320.41858773,200889.490037811,1357419.34371862,1020549.2361031,1206097.75560425,566089.997024466,1183051.96048886,610099.698117992,1232771.96000349,279530.112425136,303031.06630618,740453.774943271,1079091.05987504,1127701.37722665,615583.035232275,702582.283213468,1157015.45064082,1120567.31686762,1033630.11669964,628206.791604067,802409.156173812,1097693.42456767,854522.46277414,1081867.45962282,257117.992449726,1085251.69047026,1077281.71345122,1197669.12116536,1155055.86359374,1179328.65810039,1124434.89386984,1241134.69224973,961866.665334906,738378.952839052,838317.674596739
"mtstp5cu17",1344584.8649203,652578.56591514,1300798.48771586,228692.648897975,597947.056722244,0,1062890.21572672,1117610.09994895,1139534.91170096,1249242.89245228,1162982.99509027,1171670.93819581,1262711.22861924,216082.616543521,1246580.5855225,1344652.97613162,1384496.11985613,1217462.91512058,1093541.70592742,639757.976720579,681564.247156181,1307597.00493252,678516.559968226,627618.681054755,660986.057883865,594206.029371905,1114661.57157336,1297891.53474222,1252122.96726903,405974.506506912,1231925.48993257,172454.665363126,1054403.31898686,586297.484867711,621523.739979658,1195701.4487127,578417.153309053,699926.228181751,1212276.16366964,1266603.95624234,235981.079083982,1189725.65768168,479898.28728854,1234549.87011843,1121450.65196756,591798.735300303,1198998.50460284,1190827.9384798,1093237.15396312,1343637.30938355,592054.426830873,1356793.06311275,1346466.85355913,1109492.52072114,1143543.38350966,1266723.131276,611808.821165131,1201004.2385754,237621.493790743,813743.314764385,1203070.38864704,1286698.45148909,633880.893427367,1381204.91692122,1126076.19494781,1258477.97895443,660095.451567709,1239483.59079185,701863.54062604,1331941.12387149,644170.09111995,630471.346715303,388294.39881591,1205001.49033641,1185419.01611647,268201.572658489,902070.861970136,1259845.73011091,1252189.52572699,1120075.46319245,214810.989605327,552740.272386843,1156090.52537377,562162.695807227,1224556.72795863,590414.970781036,1180283.40853627,1149580.41380953,1232047.86728915,1262083.03314503,1303150.24553858,1187873.26407837,1279774.23405558,1074719.26419601,433999.388719795,607044.266525582
"mtstpLiu130",1233040.05770582,938991.030330208,1141714.16619116,1078921.94307363,951571.597970863,1062890.21572672,0,403850.905166237,1045078.09976442,955505.787133946,582994.759568523,863030.654586337,952088.408247523,1089418.40797953,662395.007188335,1200932.80166692,1263570.51872161,895333.909937067,332618.044585416,966260.079268331,1117981.63839133,1199836.71331342,942213.687890007,953098.222979084,978138.630139981,960536.955943175,542968.672572476,753295.0365208,924332.875030163,1147472.98263804,1079567.96696516,1086566.64721024,284939.062996287,959891.36043656,941089.231561563,886041.736862223,945059.572048648,1142520.66112479,912220.440668933,1178510.8876617,1104402.75607269,905799.896107419,1154289.88436444,893251.603696322,826937.333026381,946265.672025096,1079857.28368034,1090466.54583624,351199.964726509,1056693.86827928,972155.48221779,1217486.0314701,1211432.71182024,387138.03207506,392771.58858667,952745.200668884,962452.967705078,572715.71859487,1109923.91144707,1093914.66110394,875839.309903921,1159236.38770701,930563.026506257,1103830.36171293,455717.553068188,941243.026346316,866560.437643524,953809.656883936,915141.017659175,1197025.47076472,953880.320103367,1008475.36121941,1120636.51166305,1110124.12834001,887369.492161125,1085223.09719811,1048121.50935125,1145523.85471336,1115282.33526747,408213.304457966,1047165.54924391,1151725.4054801,529210.162666114,1156558.63581982,1110720.32991512,960954.475992698,529720.436248305,460198.460620162,931328.354770924,1131717.52768283,1160287.54879864,878468.256364426,983839.990436719,317783.575318903,1108077.87811345,1126763.09092196
"mtstpLiu133",1255592.49636404,1041792.69112165,1183525.6367844,1134689.51148422,1042427.33005233,1117610.09994895,403850.905166237,0,1109291.86716582,1048308.53053675,575551.585323058,965320.660458036,1034259.24515079,1138072.07562543,818463.848420105,1227852.79103822,1292680.5326006,996604.229986977,359988.690930292,1062748.5548572,1154537.32222742,1231727.48535773,1034763.659414,1050676.06950455,1071249.69932094,1050720.97879034,458431.461012855,558109.27045967,1010091.0096355,1184070.23051615,1122970.6536256,1138501.57085821,358098.361430595,1044786.62307326,1026132.79578683,987215.377641881,1041066.05253133,1175297.56027464,1002030.67128219,1226067.00304589,1149299.24570073,1001660.25201562,1192346.34295432,1017704.58092639,949766.290186217,1042103.36704757,1132863.08568512,1145290.94675241,359907.586922861,1122129.79538973,1057803.06638308,1245700.13237732,1240087.10117785,328685.495857783,274487.406025159,1019798.44671246,1056506.5956173,568710.33255497,1159420.1419803,1140442.89322208,981745.114250144,1191279.88225626,1024635.48815326,1152031.73111089,348459.729487955,1034058.69070068,955345.102087379,1020465.45180781,987659.969364234,1222655.10833878,1059033.30626824,1091355.84442414,1166331.95901358,1159401.49942439,992561.444316448,1140310.62886234,1107402.42857072,1184632.10039202,1165800.78961422,355343.598669603,1108365.76524504,1187583.25488568,566309.538093869,1181884.05262947,1160753.04810293,1051670.82693633,468698.463469154,241998.124409874,1010041.25261684,1171586.73379098,1196424.19267388,959250.794813502,1069499.12266351,223948.621016575,1160367.46063441,1159553.77610977
"mtstpEcu38",617724.676716145,972038.083599375,484570.72716806,1134210.58006504,948924.949135891,1139534.91170096,1045078.09976442,1109291.86716582,0,1219434.28288826,1193017.90612601,1119043.08882877,1221499.1955438,1141324.87668535,1324555.79306073,556192.203001997,659818.086072435,1189829.67936351,1017147.46718751,1013296.74512701,1040822.33289425,485060.568854834,911908.979204066,981602.243048594,1021476.00072354,966814.931586805,985641.919396836,1290343.38216463,1238872.10334187,1178706.33422293,270459.008856242,1138138.96272969,1007904.14376669,973016.815293682,958845.567262242,1142074.9085547,980873.794751891,1066863.93584218,1185734.710863,556592.202783468,1155484.94683236,1157820.55942559,1192726.68375029,1192053.93402857,1109622.28862993,962585.901486486,263713.988289688,321066.03167296,1053344.17655542,1295547.21050664,992231.241848664,567433.612345621,524274.974426852,1007969.47869654,1079433.81140729,1236839.9025469,979313.239134819,1240182.07623628,1138595.15954083,892467.21408377,1197266.41393487,466424.401201509,937418.103532137,1324707.23214957,1038782.95541256,1232014.97010096,1066562.08046853,1185107.68614614,1098531.07162773,533217.14773224,997162.675716516,1023629.41686694,1164731.5252604,361456.650416937,1148426.73273712,1122996.16035237,765638.704825401,392823.325053436,351073.165580094,1126302.83260775,1118122.78717252,1141374.40027989,1198765.42967846,1176128.45468221,338107.043938057,989345.30813552,1181548.17512738,1164263.20976072,1217425.00489726,422139.55629413,468961.186437445,1127906.17230456,1244088.29912966,1045188.98402426,1154796.75185146,1141012.56642988
"mtstpAci74",1211414.37836245,1190677.83659869,1168521.58894113,1264150.88937126,1209905.98517373,1249242.89245228,955505.787133946,1048308.53053675,1219434.28288826,0,852019.370857914,397425.955987657,197374.825510175,1273673.79510204,887721.849178581,1186334.2082083,1226249.44191271,305245.510222399,913300.271358686,1207774.49308765,1268437.72626144,1200102.89439145,1200494.72512051,1195614.63195687,1211305.14651737,1213804.03022931,1081168.2385586,997083.108791564,259070.919260765,1284230.87966548,1178085.77111157,1265997.82816588,974423.55157788,1212193.04470072,1207613.42978594,221055.508807422,1196452.15682106,1285463.52108786,294825.040098332,1184284.52318817,1272936.98963155,232764.314938672,1274568.24080535,355114.715310937,487877.949431559,1202512.16860755,1220051.7250445,1208633.51116168,959112.256742896,285535.721350615,1210801.60220731,1180917.77737869,1197861.3374953,968357.257764639,1007461.31585597,279982.877399586,1210711.97774565,912944.764588579,1283653.50448263,1279821.85749847,527285.362896816,1176595.90767307,1192370.23026236,356967.097080644,1023335.00999302,267043.323928501,1132751.32503784,294060.366037603,1163156.80973106,1178424.8539794,1186497.58622223,1234847.1394062,1270986.60458546,1176429.56601167,283854.68335605,1276130.24399607,1273835.77505325,1174411.91511278,1170180.92441325,963430.461111828,1233472.43365139,1283641.50669571,849780.403071088,1280770.23345086,1190463.17767229,1187464.81533966,963009.162373115,1045854.96898909,247277.12311721,1164020.72108312,1184575.51172008,235287.04221852,188213.248768899,1007074.06231925,1246010.09099499,1272202.69005713
