sample-id,Lipid metabolism,Carbohydrate metabolism,Glycan biosynthesis and metabolism,Amino acid metabolism,Metabolism of cofactors and vitamins,Nucleotide metabolism,Energy metabolism,Metabolism of terpenoids and polyketides,Metabolism of other amino acids,plant,developmental_stage
mtstp3iu81,5952.294546900002,12018.641592199996,4215.96899022,6445.788655000001,2877.1943039999996,1366.4491066,55767.880891799985,661.4632660000001,1001.31716,A. incarnata,3rd-instar
mtstp3cu2,6236.465087800001,11140.473484800006,4737.693273,5715.0077649,2860.4442680000006,1175.9802499000002,53918.77915480001,647.9313502999998,1254.0972242,A. curassavica,3rd-instar
mtstp3iu85,5124.389510799999,7222.2805278000005,1513.4267315999998,3850.6538320000004,2526.886858200001,818.8481766000001,59708.007144900024,557.1494764,688.0146290000001,A. incarnata,3rd-instar
mtstp3cu5,5905.6411102329985,10448.8511666,4561.913316900001,5727.915512199999,2875.7668590000003,955.0528905000001,56504.3729708,693.5570990000003,1372.7784009999998,A. curassavica,3rd-instar
mtstp3cu4,5278.920379936001,10312.088651799995,4012.171479300002,5710.434293100002,2696.6770862,1083.3943741084101,58203.8569561,619.8495980000001,1772.7598759999998,A. curassavica,3rd-instar
mtstp3cu3,5442.046934284001,10188.094571100004,3970.5721419499996,5869.757691,2760.2281111999987,1051.9632422999998,56915.29694619998,599.5568572999999,1610.8253880000004,A. curassavica,3rd-instar
mtstp3cu8,5260.7064259217095,9251.830130699997,5014.918144400002,5219.376290000003,2705.3164950000005,1036.1208876,53536.91364489999,780.4492777999999,1521.4041879999997,A. curassavica,3rd-instar
mtstp3iu83,5775.584009896,12473.456480899997,4430.287986600001,6242.329402800003,2767.5024227000004,1464.6942801599998,55067.06222210003,639.2096705000001,988.419917,A. incarnata,3rd-instar
mtstp3iu82,5721.523620317203,10746.901053899997,4237.524781799999,5998.496834400002,2581.7137877,1309.5036229,48105.53074339999,602.8347469999999,896.2789275,A. incarnata,3rd-instar
mtstp3iu84,5396.748577926231,11597.855826200004,3937.6779958000006,6363.233727000001,2833.0800142000003,1387.33002645,51574.28142769999,603.7166671,930.0815359999999,A. incarnata,3rd-instar
mtstp5iu101,5296.1189186256715,14983.478686800003,1365.3577149999999,6780.5877911,2055.2492039999997,1958.9717570103285,28420.314578000005,440.55650999999995,367.350734,A. incarnata,5th-instar
mtstp5iu99,4491.308217200001,14273.140208399998,2494.4380744999994,7102.257309100001,2521.0873840000004,2556.7931977999997,47476.1241136,456.8582089,425.81172200000003,A. incarnata,5th-instar
mtstp5iu97,4876.278239500002,7586.824545899999,2659.6786836000006,3722.9035068999992,2363.8710055,1297.14146656,24028.080048899992,846.7224453,420.7072953,A. incarnata,5th-instar
mtstp5cu20,4346.405885100002,13196.304421600005,2367.326436300001,6287.405104099997,2847.222621899999,2224.0848573099997,47691.88477150001,411.8700853,822.8269569999998,A. curassavica,5th-instar
mtstp5cu19,5446.341742200003,14968.625577699999,1698.9732028000003,6739.235996500002,2336.7020490000004,2362.2575026,37710.20332599998,424.87743879999994,503.89531100000005,A. curassavica,5th-instar
mtstp5cu21,4449.852524000001,13352.414409500008,2184.4777217599994,6587.214335599998,3247.464479899999,2115.8026866000005,46998.10766439999,454.8356616,648.6939460000002,A. curassavica,5th-instar
mtstp5iu98,5085.456711823571,15346.761848099995,2631.4680249000003,7159.390340699997,2906.3580403,2568.6516771162633,46090.21873329999,498.48706000000004,548.9195100000001,A. incarnata,5th-instar
mtstp5cu18,5457.710438424285,12268.974648100002,1775.1176227500002,5619.590852099997,2292.4736070000013,2516.4031535,35422.39308049999,444.5632076,449.69100400000013,A. curassavica,5th-instar
mtstp5cu17,4713.094960836961,13314.274318700007,2415.221276960001,6402.995203600001,2878.366488199999,2230.5740997099997,48526.73864469999,469.99391599999996,658.121203,A. curassavica,5th-instar
mtstp5iu100,5110.179177799999,14259.518061799996,2213.5566627000003,7119.541438479999,2679.4889944999995,2473.8018878000003,42452.31810999999,411.0417130000001,614.6119140000001,A. incarnata,5th-instar
mtstpEcu35,2062.1097909,4248.004130800002,1920.7897483,2287.229974899999,1437.984062700001,680.0660103999999,9855.4861494,407.5479756,316.8518664,A. curassavica,Early-pupa
