genes	third_instar	fifth_instar	early_pupa	late_pupa	adult
lcl|KZ248545.1_cds_OWR45966.1_1	98.8233	37.6171	0.0231939	0.122114	11.6551
lcl|KZ248545.1_cds_OWR42929.1_2	132.963	51.4946	0.05419775	0.091779	14.8187
lcl|KZ248545.1_cds_OWR42930.1_3	500.187	1100.93	116.80785	540.763	879.651
lcl|KZ248545.1_cds_OWR42931.1_4	50.2724	136.36	1.0476325	9.64606	4.57609
lcl|KZ248545.1_cds_OWR42932.1_5	38.7725	1.72828	2.2478100000000003	3.41826	3.8778
lcl|KZ248545.1_cds_OWR42933.1_6	0.0	0.678052	1.052569	0.511971	0.36935
lcl|KZ248545.1_cds_OWR42934.1_7	0.0	0.0	0.0	0.137542	0.0677909
lcl|KZ248545.1_cds_OWR42935.1_8	3.22012	2.99995	0.074968	2.35713	2.35992
lcl|KZ248545.1_cds_OWR42936.1_9	37.6172	81.4576	0.114526	0.736569	3.55418
lcl|KZ248545.1_cds_OWR51149.1_10	1.41637	0.770157	8.615915000000001	9.1804	95.5921
lcl|KZ248545.1_cds_OWR51150.1_11	26.9756	0.126323	13.168800000000001	40.4475	10.0131
lcl|KZ248545.1_cds_OWR51151.1_12	0.0	0.0142002	2.24253255	0.0385402	6.61039
lcl|KZ248545.1_cds_OWR51152.1_13	0.343716	0.206698	8.62665	0.125036	25.8799
lcl|KZ248545.1_cds_OWR51153.1_14	239.781	134.279	436.869	265.432	173.839
lcl|KZ248545.1_cds_OWR51154.1_15	11.9421	9.67763	4.85666	10.6114	17.4863
lcl|KZ248545.1_cds_OWR51155.1_16	28.8495	16.3048	31.315600000000003	26.0641	30.3396
lcl|KZ248545.1_cds_OWR51156.1_17	6.39651	2.65893	4.665705	4.96579	2.9945
lcl|KZ248545.1_cds_OWR51157.1_18	88.5172	65.5795	32.1708	21.8932	28.978
lcl|KZ248545.1_cds_OWR51158.1_19	11.3802	6.28374	14.60815	10.004	5.88488
lcl|KZ248545.1_cds_OWR51159.1_20	0.937689	0.832825	6.309455	2.63723	2.56266
lcl|KZ248545.1_cds_OWR51160.1_21	150.644	223.226	47.766149999999996	216.747	473.359
lcl|KZ248545.1_cds_OWR51161.1_22	9.13777	4.35746	8.58961	5.15229	4.55384
lcl|KZ248545.1_cds_OWR51162.1_23	11.6564	3.33714	9.445630000000001	16.1752	11.7356
lcl|KZ248545.1_cds_OWR51163.1_24	37.7891	4.3171	26.3613	53.6052	31.7697
lcl|KZ248545.1_cds_OWR51164.1_25	2.05499	0.369331	0.23835715	5.02805	0.407942
lcl|KZ248545.1_cds_OWR51165.1_26	9.09643	6.45948	8.270340000000001	17.0564	36.3684
lcl|KZ248545.1_cds_OWR51166.1_27	8.92462	6.70521	6.6733899999999995	6.99792	5.71845
lcl|KZ248545.1_cds_OWR51167.1_28	0.152632	0.250743	0.745401	0.443176	2.34817
lcl|KZ248545.1_cds_OWR51168.1_29	18.8487	4.4691	29.89265	7.22501	4.01893
lcl|KZ248545.1_cds_OWR51169.1_30	32.9961	17.978	11.875	29.325	16.8251
lcl|KZ248545.1_cds_OWR51170.1_31	22.4631	9.34727	9.068415	10.457	10.9663
lcl|KZ248545.1_cds_OWR51171.1_32	5.30342	1.35598	3.2499200000000004	1.07871	0.905276
lcl|KZ248545.1_cds_OWR51172.1_33	0.0183387	0.0479212	10.497685	2.59888	32.2951
lcl|KZ248545.1_cds_OWR51173.1_34	0.0577237	0.0	26.1369	0.542115	3.04804
lcl|KZ248545.1_cds_OWR55128.1_35	21.8987	20.579	0.5568815	1.74188	10.0785
lcl|KZ248545.1_cds_OWR55129.1_36	42.1126	19.0395	12.423449999999999	9.25738	61.5145
lcl|KZ248545.1_cds_OWR55130.1_37	293.802	972.129	0.8095825000000001	0.172184	1.10093
lcl|KZ248545.1_cds_OWR55131.1_38	822.017	750.916	111.803	0.15732	0.159828
lcl|KZ248545.1_cds_OWR55132.1_39	2924.77	2017.4	242.02749999999997	66.9832	0.635848
lcl|KZ248545.1_cds_OWR55133.1_40	1.07554	0.746928	1.63883	0.767826	1.05811
lcl|KZ248545.1_cds_OWR55134.1_41	2.77335	1.83101	2.9749749999999997	2.20555	1.20168
lcl|KZ248545.1_cds_OWR55135.1_42	20.5706	51.3131	7.717874999999999	6.83497	8.6318
lcl|KZ248545.1_cds_OWR55136.1_43	2.1583	6.54276	1.675705	8.54107	10.182
lcl|KZ248545.1_cds_OWR55137.1_44	0.113971	0.0252635	0.1725195	0.566079	0.250596
lcl|KZ248545.1_cds_OWR55138.1_45	68.0739	41.2158	21.6575	20.5697	25.8278
lcl|KZ248545.1_cds_OWR55139.1_46	4.52068	26.4699	0.773623	0.073619	0.0660816
lcl|KZ248545.1_cds_OWR55140.1_47	82.2981	10.9317	7.8411100000000005	1.05856	0.0907125
lcl|KZ248545.1_cds_OWR55141.1_48	4.54808	20.2596	0.1499315	0.128712	0.0226764
lcl|KZ248545.1_cds_OWR55142.1_49	0.0356662	0.0	0.0	8.78542	22.9462
lcl|KZ248545.1_cds_OWR55143.1_50	3.20198	3.54431	1.332525	12.8106	21.5951
lcl|KZ248545.1_cds_OWR55144.1_51	1.28199	0.719691	0.898061	3.98156	4.76355
lcl|KZ248545.1_cds_OWR55145.1_52	0.299566	0.113273	0.323643	0.910669	1.22083
lcl|KZ248545.1_cds_OWR55122.1_53	2.49031	1.36039	3.5259149999999995	1.15971	1.74013
lcl|KZ248545.1_cds_OWR55123.1_54	3.38645	2.32105	4.24497	4.59026	10.0481
lcl|KZ248545.1_cds_OWR55124.1_55	0.0	0.0	0.0282659	0.0	0.0
lcl|KZ248545.1_cds_OWR55125.1_56	44.3908	22.8489	36.78475	20.7608	11.6354
lcl|KZ248545.1_cds_OWR55126.1_57	2.53172	1.31541	11.28125	2.35643	5.54953
lcl|KZ248545.1_cds_OWR55127.1_58	1.53879	5.97643	0.10693285	0.134885	1.28197
lcl|KZ248545.1_cds_OWR55114.1_59	40.1434	20.7589	1.34383	2.38533	13.9882
lcl|KZ248545.1_cds_OWR55115.1_60	14.6101	5.38439	6.3367	12.7297	3.17911
lcl|KZ248545.1_cds_OWR55116.1_61	1.55407	0.377056	1.7781449999999999	1.2905	2.36535
lcl|KZ248545.1_cds_OWR55117.1_62	1246.18	1461.09	2657.875	1487.28	1361.15
lcl|KZ248545.1_cds_OWR55118.1_63	2.79943	1.05108	2.551755	4.05894	1.15984
lcl|KZ248545.1_cds_OWR55119.1_64	7.30269	7.42255	6.314505	5.15058	7.27289
lcl|KZ248545.1_cds_OWR55120.1_65	1.30912	1.22141	1.594065	1.42543	6.54302
lcl|KZ248545.1_cds_OWR55121.1_66	5.95848	2.57365	4.528875	7.53588	6.53471
lcl|KZ248545.1_cds_OWR54893.1_67	0.0	0.0	0.73184	1.03952	0.504984
lcl|KZ248545.1_cds_OWR54894.1_68	18.9648	8.72588	10.890944999999999	47.8143	26.984
lcl|KZ248545.1_cds_OWR54895.1_69	43.9467	29.5953	26.51925	22.7818	15.9949
lcl|KZ248545.1_cds_OWR54896.1_70	5.74633	3.00114	7.150135	3.61069	2.67236
lcl|KZ248545.1_cds_OWR54897.1_71	38.1699	37.6727	48.57595	7.89033	20.626
lcl|KZ248545.1_cds_OWR54898.1_72	1.64553	0.357882	1.542105	1.12628	0.425451
lcl|KZ248545.1_cds_OWR54899.1_73	2.3638	1.22174	5.4991900000000005	3.43302	2.50125
lcl|KZ248545.1_cds_OWR54900.1_74	0.754701	0.0	0.0	0.495628	0.0462018
lcl|KZ248545.1_cds_OWR54901.1_75	0.278582	0.0556662	0.8400185	0.688178	0.197738
lcl|KZ248545.1_cds_OWR54902.1_76	26.3743	24.414	67.2308	14.9231	17.3766
lcl|KZ248545.1_cds_OWR54903.1_77	0.0	0.0	0.0	0.0	7.0697
lcl|KZ248545.1_cds_OWR54904.1_78	0.0	0.0	0.0925057	0.0	8.81629
lcl|KZ248545.1_cds_OWR54905.1_79	91.4728	66.1408	25.8194	12.3903	16.3411
lcl|KZ248545.1_cds_OWR54906.1_80	37.8619	18.2474	33.25465	16.8045	16.8523
lcl|KZ248545.1_cds_OWR54907.1_81	3.27824	1.24089	4.20188	4.98083	1.93201
lcl|KZ248545.1_cds_OWR54908.1_82	32.1925	16.8117	31.34845	24.3556	20.061
lcl|KZ248545.1_cds_OWR54909.1_83	68.0483	46.22	40.2282	26.5432	19.906
lcl|KZ248545.1_cds_OWR54910.1_84	28.9825	17.1319	34.7589	15.6855	23.479
lcl|KZ248545.1_cds_OWR54911.1_85	48.8053	24.5336	33.08515	25.8946	15.9128
lcl|KZ248545.1_cds_OWR54912.1_86	35.5085	19.3439	17.597550000000002	29.1214	14.3975
lcl|KZ248545.1_cds_OWR54913.1_87	9.76873	5.87507	8.553735	8.06038	4.79712
lcl|KZ248545.1_cds_OWR54914.1_88	2.5426	1.88605	3.32827	2.3895	2.71139
lcl|KZ248545.1_cds_OWR54915.1_89	2.61662	1.56357	2.043265	1.53575	1.75277
lcl|KZ248545.1_cds_OWR54916.1_90	2.25846	4.79708	0.0	0.432501	0.583663
lcl|KZ248545.1_cds_OWR54917.1_91	7.54895	6.30711	41.6713	8.46619	19.461
lcl|KZ248545.1_cds_OWR54918.1_92	7.9331	5.0451	39.39075	11.073	15.9688
lcl|KZ248545.1_cds_OWR54919.1_93	1.15692	0.342175	0.5041439999999999	0.268648	6.96639
lcl|KZ248545.1_cds_OWR54920.1_94	17.1214	4.15902	21.5549	2.87356	12.1608
lcl|KZ248545.1_cds_OWR54921.1_95	26.9294	18.8464	23.958399999999997	22.3844	18.6784
lcl|KZ248545.1_cds_OWR54922.1_96	0.796892	0.475653	2.9322999999999997	0.960543	4.72203
lcl|KZ248545.1_cds_OWR54923.1_97	9.8764	6.41599	4.215175	7.88624	10.5231
lcl|KZ248545.1_cds_OWR54924.1_98	2.08873	0.0	0.242618	0.431598	5.45895
lcl|KZ248545.1_cds_OWR54925.1_99	5.73884	3.28826	2.495365	4.48296	5.65963
lcl|KZ248545.1_cds_OWR54926.1_100	4.35089	1.77919	3.8124599999999997	2.93085	1.53469
lcl|KZ248545.1_cds_OWR54927.1_101	2.90138	1.93717	5.410915	2.95732	2.65774
lcl|KZ248545.1_cds_OWR54928.1_102	13.1306	0.0	2.206385	58.5308	1.32794
lcl|KZ248545.1_cds_OWR54929.1_103	169.255	29.2505	124.935	45.9567	8.40731
lcl|KZ248545.1_cds_OWR54930.1_104	18.8058	0.447489	0.00663635	0.0703126	0.0
lcl|KZ248545.1_cds_OWR54931.1_105	14.9492	2.59709	7.4458	16.4132	32.8603
lcl|KZ248545.1_cds_OWR54932.1_106	10.1743	4.30786	6.934335	13.6596	7.77415
lcl|KZ248545.1_cds_OWR54933.1_107	0.795225	0.740611	19.37535	2.27361	0.25053
lcl|KZ248545.1_cds_OWR54934.1_108	17.9639	10.0741	8.000409999999999	23.597	8.88381
lcl|KZ248545.1_cds_OWR54935.1_109	0.582936	0.155651	0.7078905	0.253107	0.0661691
lcl|KZ248545.1_cds_OWR54936.1_110	8.49136	4.21491	6.544235	8.35877	5.39838
lcl|KZ248545.1_cds_OWR54937.1_111	15.7157	12.3164	0.3419375	0.0509089	0.0112713
lcl|KZ248545.1_cds_OWR54938.1_112	17.6199	10.635	15.9704	15.1239	12.3984
lcl|KZ248545.1_cds_OWR54939.1_113	15.9733	7.09048	74.31645	31.2921	11.4657
lcl|KZ248545.1_cds_OWR54940.1_114	8.89358	5.7199	8.09594	6.14394	4.82745
lcl|KZ248545.1_cds_OWR54941.1_115	4.2099	3.41354	3.0039800000000003	4.23666	4.51489
lcl|KZ248545.1_cds_OWR54942.1_116	225.077	333.727	13.14895	7.45234	151.069
lcl|KZ248545.1_cds_OWR54943.1_117	3.47804	2.02852	2.6043399999999997	2.33497	1.9806
lcl|KZ248545.1_cds_OWR54944.1_118	5.21824	3.14262	9.161154999999999	4.05421	5.97504
lcl|KZ248545.1_cds_OWR54945.1_119	0.962549	1.00057	0.47014649999999997	5.01555	0.823994
lcl|KZ248545.1_cds_OWR54946.1_120	0.469016	0.368905	0.47942450000000003	3.48917	0.909806
lcl|KZ248545.1_cds_OWR54947.1_121	1.03455	3.71619	0.18010700000000002	0.681921	1.3743
lcl|KZ248545.1_cds_OWR54948.1_122	69.0608	74.2082	0.0	0.0678115	2.09569
lcl|KZ248545.1_cds_OWR54949.1_123	13.8722	11.4669	4.08972	11.0704	17.5079
lcl|KZ248545.1_cds_OWR54950.1_124	1.96649	1.04704	3.5639250000000002	0.648258	0.576643
lcl|KZ248545.1_cds_OWR54951.1_125	1.11669	0.195017	0.4815545	31.9543	1.20438
lcl|KZ248545.1_cds_OWR54952.1_126	13.7654	6.48707	9.46795	22.0049	10.342
lcl|KZ248545.1_cds_OWR54953.1_127	9.25721	21.4227	4501.8	5285.2	2280.44
lcl|KZ248545.1_cds_OWR54954.1_128	3.88719	2.58032	3.9116	8.64003	3.94564
lcl|KZ248545.1_cds_OWR54955.1_129	106.007	38.1605	54.6851	26.8944	13.0196
lcl|KZ248545.1_cds_OWR54956.1_130	6.40938	3.00728	6.184845	7.06716	3.13147
lcl|KZ248545.1_cds_OWR54957.1_131	129.929	121.514	80.76945	148.964	46.4872
lcl|KZ248545.1_cds_OWR54958.1_132	5.92501	4.67726	10.59783	4.30448	4.63556
lcl|KZ248545.1_cds_OWR54959.1_133	55.0751	60.9024	73.66425	88.3408	13.6926
lcl|KZ248545.1_cds_OWR54960.1_134	33.693	23.9226	23.750549999999997	29.9318	71.8953
lcl|KZ248545.1_cds_OWR54961.1_135	0.08055	0.0681268	1.8688527	0.0723811	10.9726
lcl|KZ248545.1_cds_OWR54962.1_136	7.96412	5.95247	13.604099999999999	6.3678	5.45938
lcl|KZ248545.1_cds_OWR54963.1_137	1044.13	806.382	107.289	1197.2	2023.75
lcl|KZ248545.1_cds_OWR54964.1_138	5.36874	2.50432	5.361829999999999	3.52903	2.52583
lcl|KZ248545.1_cds_OWR54965.1_139	2.92466	1.57321	6.19023	0.34529	1.99627
lcl|KZ248545.1_cds_OWR54966.1_140	2.37528	1.12257	5.12134	0.293638	1.26522
lcl|KZ248545.1_cds_OWR54967.1_141	60.4406	11.5913	8.231495	1.19275	69.3042
lcl|KZ248545.1_cds_OWR54968.1_142	205.461	140.578	55.20655	70.6096	36.8455
lcl|KZ248545.1_cds_OWR54969.1_143	6.25687	7.65038	7.897225000000001	8.74126	9.91527
lcl|KZ248545.1_cds_OWR54970.1_144	1.36859	0.361335	0.7901485	0.289422	0.170591
lcl|KZ248545.1_cds_OWR54971.1_145	9.1077	3.67788	5.38901	5.25344	3.99379
lcl|KZ248545.1_cds_OWR54972.1_146	7.56118	4.96093	3.520265	10.4168	5.10345
lcl|KZ248545.1_cds_OWR54973.1_147	14.4037	9.82788	8.25529	6.67762	3.37776
lcl|KZ248545.1_cds_OWR54974.1_148	12.2356	5.36238	18.01905	9.99103	7.62108
lcl|KZ248545.1_cds_OWR54975.1_149	3.4692	1.17043	2.42063	1.05796	1.01085
lcl|KZ248545.1_cds_OWR54976.1_150	111.828	60.2375	65.71225	54.491	38.7262
lcl|KZ248545.1_cds_OWR54977.1_151	90.3911	61.2345	56.24235	48.6484	33.3391
lcl|KZ248545.1_cds_OWR54978.1_152	8.61678	6.74751	18.0594	13.2591	10.025
lcl|KZ248545.1_cds_OWR54979.1_153	42.7421	19.1478	34.5607	20.4584	32.0297
lcl|KZ248545.1_cds_OWR54980.1_154	36.0523	16.4115	35.6218	19.7305	19.5697
lcl|KZ248545.1_cds_OWR54981.1_155	0.184217	0.0503909	0.781032	0.332581	1.033
lcl|KZ248545.1_cds_OWR54982.1_156	9.39902	14.4103	7440.145	4394.25	19422.3
lcl|KZ248545.1_cds_OWR54983.1_157	1.75906	0.893091	3.98943	1.46664	2.02938
lcl|KZ248545.1_cds_OWR54984.1_158	4.20617	1.74398	5.18524	2.74621	3.3754
lcl|KZ248545.1_cds_OWR54985.1_159	2.83516	2.72536	3.6763399999999997	0.525244	0.876566
lcl|KZ248545.1_cds_OWR54986.1_160	3.0	3.58401	4.293755	0.374691	1.3984
lcl|KZ248545.1_cds_OWR54987.1_161	0.0	0.0	0.4774845	0.0	1.29906
lcl|KZ248545.1_cds_OWR54988.1_162	0.0	0.0	0.209106	0.0	0.679001
lcl|KZ248545.1_cds_OWR54989.1_163	0.0	0.0	0.0	0.0	0.270349
lcl|KZ248545.1_cds_OWR54990.1_164	0.0	0.0	1.8825555	0.0	3.72679
lcl|KZ248545.1_cds_OWR54991.1_165	2.72363	1.84436	6.054615	3.17934	2.23435
lcl|KZ248545.1_cds_OWR54992.1_166	1.79325	1.36901	2.352665	1.30751	1.49803
lcl|KZ248545.1_cds_OWR54993.1_167	2.19054	1.00849	2.719595	2.45006	4.97115
lcl|KZ248545.1_cds_OWR54994.1_168	3.38955	1.75961	3.2065200000000003	4.70183	12.8705
lcl|KZ248545.1_cds_OWR54995.1_169	19.8138	10.4259	15.84515	8.05201	6.73069
lcl|KZ248545.1_cds_OWR54996.1_170	3.86512	1.61431	2.61648	2.17957	1.34303
lcl|KZ248545.1_cds_OWR54997.1_171	283.36	264.031	74.3826	353.748	662.244
lcl|KZ248545.1_cds_OWR54998.1_172	81.9582	27.9226	0.912858	28.9957	3.58921
lcl|KZ248545.1_cds_OWR54999.1_173	29.7271	32.7032	11.04394	2.81291	22.5051
lcl|KZ248545.1_cds_OWR55000.1_174	16.3375	12.1485	1.1554	0.663611	30.5001
