"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49"
"mtstp5iu98",-2271274.34748315,283055.749348292,474534.400579542,-915481.093616435,189028.764653169,161306.414377095,-37158.6736881137,-50080.805986462,56891.8114996787,-48001.0074396584,76886.7565124435,-21405.8423098869,9430.69498066497,-40798.6321671218,47955.8431581683,-6617.03888433281,27701.3994960638,63879.9272503639,-32182.6788157466,-6119.71988435196,21987.0000700865,9000.35597998801,3894.91792861983,22445.6209210373,33030.6650398321,-63459.0809622422,-80248.7621308057,10481.2694755039,34189.4321124495,12423.2021329716,1099.79007402666,5460.4581639171,8159.52385687671,17138.9985313275,-41761.9126786187,-14832.2804727754,-7418.16444828018,-10474.1084449653,-9377.10867053522,13926.6297125957,48028.5332045071,38368.9383566627,56040.0810345227,-2252.38672296021,-56666.9502656237,-7606.72786252507,-7559.19553301312,5781.31137368438,-2.65572452917695e-10
"mtstp3cu2",-2155570.98088016,231750.025345352,-76613.0426852698,980379.112839708,-112504.335908837,9545.34670607773,45055.7557692501,47593.8475594234,31304.5540118003,-19530.2912743999,17848.5813716717,1072.74958825744,1031.40383378877,20306.8049884463,-36488.9551047316,-42576.9384882381,20823.5993857877,33361.062561208,-10465.6800389257,-12239.0020176284,10999.596935151,-12949.3493184077,58544.9630096054,24516.1473588271,-16898.018366691,32224.5587818125,14659.9261628673,4155.422167334,-12732.38885301,-6025.28085668685,-830.90706259222,10411.0271354914,-6539.23510616546,-19335.9644247909,-74108.0882609174,-11468.180717347,-35873.8573177857,6795.6382247327,20458.7082291666,26292.9331120413,-32517.7053934074,-63165.3458866339,-14968.4141023672,-42014.8973238091,-48230.2882343582,-39406.3273999872,-1037.80886701821,-15503.6001795039,-1.08229869510978e-10
"mtstp5cu17",-2288617.95000777,358396.841140602,438142.980725289,-791766.169126254,171209.696115127,263168.974420119,-40443.6509403297,-93036.8840465401,25485.5335750485,-10899.4467860149,41163.4879688524,-2845.25208847599,-4948.06841163682,2291.43406834488,-2266.47616719841,3618.80387614002,-2242.17567457744,-21063.9482017465,11701.9783822627,10978.2651108221,-12991.5280669539,-8318.13199199387,-1727.23315866092,-36468.6503075783,-24263.614318003,90102.6392047514,91468.4936442149,-17084.6370444465,-53271.1307710896,-14517.9037123702,-7868.7236473005,19755.7512208343,-16085.5450434167,37822.6800014216,-68919.4723896497,-15757.8572716771,40589.9458510066,6034.53752390759,-128.884345924649,11051.1776607307,33185.6669192661,50412.4233291041,-41035.4176097364,-1208.30710437087,-37.0736565904699,10303.5269565614,7255.59986013801,-1332.97845913763,-2.3283064365387e-10
"mtstpLiu130",791130.883676923,848797.25589554,-1325074.55624089,-7191.25541538386,317909.581021898,5890.83132420455,-74932.5000241743,18797.814781076,-265617.442245926,-182762.89415898,15268.9407960752,39149.3273587057,30419.1042275164,38991.5357864942,59860.6225440936,-90958.3389615657,-189516.816421036,-33338.7709234653,-167645.752730165,-43196.0567484733,10590.38632539,1180.19019070336,2010.96905947559,3028.83527208292,-8024.45213779826,3301.9994878789,18798.0145791471,23862.0284921487,17218.7178587574,-10317.8866348223,14439.9806661092,8458.49662132693,4369.56310818918,291.49717688463,4581.95835858834,-10949.9694355159,-791.216601634871,5327.89091893259,-3653.84267418637,-1390.74429932973,-2085.64450442303,1844.11525444546,634.776735792278,-1127.99416915022,-1261.39181222151,842.779024103253,-109.333781196607,457.056337381292,3.12866177409887e-10
"mtstpLiu133",933019.667284623,793270.700162531,-1628886.71448875,-308343.668449745,124884.301626509,-47121.3346710081,254771.217952417,-122609.502288892,-64300.4038507572,9697.45271751328,26452.0191381383,68540.1804887431,-181393.353127879,-15006.3836490457,18350.2705150733,-46605.7392512988,65080.9850214725,260.382141878089,36779.1186062046,-17260.844569635,-21535.6152879455,60057.6988618289,-8385.29635764704,16656.1685512044,73980.9767138208,61111.2309946279,-5927.54008711973,49271.8437449964,-7198.11091665866,26234.014024826,-58027.3910345218,-25463.1916319421,470.316725169265,9247.39589885234,20538.6982669122,-83884.9391973513,-12668.0791430606,8096.20093478652,-7191.79056348713,-3942.0295242641,-773.140054319723,-7508.33391270431,632.730627240632,1815.02171898186,2243.49759724002,2932.53849729835,82.4941084259826,-172.710457325843,1.89174897968769e-10
"mtstpEcu38",358374.124037563,-2200450.19038392,-175606.431575848,297382.076733111,196537.124197986,-147081.684358265,-230659.251809657,-221836.927873961,164568.92385074,-123074.280971394,-128167.440634501,91018.9979727056,-87610.5475377929,51235.8460026064,5351.0290330771,21103.9529604318,-85756.4546310658,77234.9242841796,33276.0231540722,137254.979904567,-20439.2689695051,-15765.3500927504,48018.7443771301,-14549.1902116886,64364.5861522586,15598.4847889758,-20388.9207672317,-50077.1881905822,3365.19626723248,-17869.6879973305,28283.4166989825,8096.71873766015,-51766.1836207883,-10285.8308104151,15773.4169011135,-17341.1368911769,-48.1530668919022,-13524.524709327,11606.1578212149,4422.04458425947,-12726.7716123383,11579.5623278102,-444.509097807324,2758.37659373644,-4725.4956307922,-1822.97827432838,-1988.09459566145,-8.13792226671399,-4.29281499236822e-10
"mtstpAiu148",1809228.3253177,1010008.12441603,798991.995938894,354544.933290237,343534.654766269,-43300.8226705977,-141901.905333291,122145.855054492,75753.521734771,213273.523571968,94566.4555611204,45908.5822164334,64226.55594161,135707.877406412,98423.4943212547,-6629.20413434698,30394.1786847846,-7194.54536567855,12666.146099642,-21055.5342539779,-65830.546924405,-65204.1905276357,58564.1253987856,-41259.6808808299,66271.9071493872,-49730.4793711962,34753.4801315215,61594.786662279,-6890.51782235409,-75224.0329835194,-35728.3698324079,17590.7586668402,6684.59574593918,-5903.65494280408,9706.74488414793,-10846.1854364529,1623.29022916379,5854.26280420455,-5837.68129990092,-5512.117794638,-1791.90250643708,4159.55747064273,4091.32589210656,-5211.97327669665,-1501.84553374479,1085.46911810631,815.680975904323,-238.293136622377,2.11230144486763e-10
"mtstp5iu100",-2265336.02803567,264118.46869975,484648.33796696,-994427.728614358,175848.347049109,163072.056098839,-27075.2456362315,-63275.2055906943,54654.3828715907,-33965.8433097751,70994.7773048283,-1964.22537345963,3110.75289821294,-31634.3098536736,37611.579914872,-738.031728275026,20606.9159704923,50666.9328080386,-27722.9997108736,7759.61933404749,8269.38676713586,14150.9540115029,-11028.4175325068,-11288.6916796496,528.733054681812,-26114.1700125918,-9223.75246328945,2895.27560351272,11279.0623634282,-3802.4219803657,-375.962370613932,-33527.2635303018,32492.6635749919,-61376.7927867517,45394.459446359,13191.649483551,-73566.3443437284,21728.4563039246,34594.3453387367,16819.0929141962,-3437.73123448273,33964.9178586387,-56809.5682225572,-25135.8228932547,34818.6090774475,-22904.2526481915,5525.03718352327,-5974.06076818723,-3.45607986673713e-10
"mtstpLiu131",1437209.18700234,1038171.09923886,-619635.672629241,-501765.299079598,-909055.551425817,93783.1274889811,-520307.692460936,101674.067940962,-200117.664395673,-185043.255704624,74019.9425409314,191784.667632635,22638.9526065078,35253.8341487675,34067.0913609036,-14086.8017499296,95447.5580482127,-6452.13989948926,47415.9268630007,15932.4746702069,3369.88604563579,20755.3661474398,2908.39289550458,-1475.16402818816,-13300.5769174533,-25093.0195760287,-2056.34920026313,-2506.1170164331,-32200.8257179205,15210.584156356,-548.309693503019,6816.58429737354,-5404.64299386652,-2673.66849348376,-667.0425989096,-537.769555134742,2103.26293182644,-4087.73604806788,2307.09859104126,-280.44867367022,-1246.47968175027,-522.769754533726,-1393.12107993477,3483.27308978527,873.116212858856,-1213.3402688103,-1885.6233633228,-843.665407963073,3.32875060848892e-10
"mtstpAiu147",2078735.65190223,1121824.87552319,1020665.61496464,234093.773993441,137739.095359946,-3003.59569582541,-93065.1062081875,59458.8350291566,-10345.0828690133,14327.8817538,18827.6074344464,-27256.6610207214,-89336.6136705537,-130504.788888765,-53823.1320227503,-78509.7792370673,-24486.6859556525,-40338.3772900411,24016.4219138322,47707.386754621,76721.9404491575,-37655.5468620418,-51075.1280662415,22198.9169571699,-32772.241197254,21426.9089177463,-81205.5043833274,39719.4824960873,-80696.5647667239,-104301.28272144,-6784.75328430627,17295.3631061216,-13353.2060152038,-6404.88005817652,10381.3129721834,132.554326203783,-7939.48991916512,2925.62642176427,-107.649951361602,5016.03379696864,10917.4980254059,-5632.56000381229,-4552.73416062117,16275.0625087868,-1393.84889128416,-5346.23836031278,-2134.92299334544,-730.937018542841,3.01952240988612e-10
