sample-id	plant	infection-status	developmental-stage
mtstp3ci10	curassavica	infected	third-instar
mtstp3ci11	curassavica	infected	third-instar
mtstp3ci12	curassavica	infected	third-instar
mtstp3ci13	curassavica	infected	third-instar
mtstp3ci9	curassavica	infected	third-instar
mtstp3cu2	curassavica	uninfected	third-instar
mtstp3cu3	curassavica	uninfected	third-instar
mtstp3cu4	curassavica	uninfected	third-instar
mtstp3cu5	curassavica	uninfected	third-instar
mtstp3cu8	curassavica	uninfected	third-instar
mtstp3ii89	incarnata	infected	third-instar
mtstp3ii90	incarnata	infected	third-instar
mtstp3ii92	incarnata	infected	third-instar
mtstp3ii94	incarnata	infected	third-instar
mtstp3iu81	incarnata	uninfected	third-instar
mtstp3iu82	incarnata	uninfected	third-instar
mtstp3iu83	incarnata	uninfected	third-instar
mtstp3iu84	incarnata	uninfected	third-instar
mtstp3iu85	incarnata	uninfected	third-instar
mtstp5ci25	curassavica	infected	fifth-instar
mtstp5ci26	curassavica	infected	fifth-instar
mtstp5ci27	curassavica	infected	fifth-instar
mtstp5ci28	curassavica	infected	fifth-instar
mtstp5cu17	curassavica	uninfected	fifth-instar
mtstp5cu18	curassavica	uninfected	fifth-instar
mtstp5cu19	curassavica	uninfected	fifth-instar
mtstp5cu20	curassavica	uninfected	fifth-instar
mtstp5cu21	curassavica	uninfected	fifth-instar
mtstp5ii105	incarnata	infected	fifth-instar
mtstp5ii107	incarnata	infected	fifth-instar
mtstp5ii108	incarnata	infected	fifth-instar
mtstp5ii109	incarnata	infected	fifth-instar
mtstp5ii112	incarnata	infected	fifth-instar
mtstp5iu100	incarnata	uninfected	fifth-instar
mtstp5iu101	incarnata	uninfected	fifth-instar
mtstp5iu97	incarnata	uninfected	fifth-instar
mtstp5iu98	incarnata	uninfected	fifth-instar
mtstp5iu99	incarnata	uninfected	fifth-instar
mtstpAci73	curassavica	infected	adult
mtstpAci74	curassavica	infected	adult
mtstpAci75	curassavica	infected	adult
mtstpAci76	curassavica	infected	adult
mtstpAci77	curassavica	infected	adult
mtstpAcu65	curassavica	uninfected	adult
mtstpAcu66	curassavica	uninfected	adult
mtstpAcu67	curassavica	uninfected	adult
mtstpAcu68	curassavica	uninfected	adult
mtstpAcu69	curassavica	uninfected	adult
mtstpAii153	incarnata	infected	adult
mtstpAii154	incarnata	infected	adult
mtstpAii155	incarnata	infected	adult
mtstpAii156	incarnata	infected	adult
mtstpAii157	incarnata	infected	adult
mtstpAiu145	incarnata	uninfected	adult
mtstpAiu146	incarnata	uninfected	adult
mtstpAiu147	incarnata	uninfected	adult
mtstpAiu148	incarnata	uninfected	adult
mtstpAiu149	incarnata	uninfected	adult
mtstpEci41	curassavica	infected	early-pupa
mtstpEci42	curassavica	infected	early-pupa
mtstpEci43	curassavica	infected	early-pupa
mtstpEci44	curassavica	infected	early-pupa
mtstpEci45	curassavica	infected	early-pupa
mtstpEcu33	curassavica	uninfected	early-pupa
mtstpEcu34	curassavica	uninfected	early-pupa
mtstpEcu35	curassavica	uninfected	early-pupa
mtstpEcu36	curassavica	uninfected	early-pupa
mtstpEcu38	curassavica	uninfected	early-pupa
mtstpEii121	incarnata	infected	early-pupa
mtstpEii122	incarnata	infected	early-pupa
mtstpEii123	incarnata	infected	early-pupa
mtstpEii124	incarnata	infected	early-pupa
mtstpEii125	incarnata	infected	early-pupa
mtstpEiu113	incarnata	infected	early-pupa
mtstpEiu114	incarnata	uninfected	early-pupa
mtstpEiu115	incarnata	uninfected	early-pupa
mtstpEiu116	incarnata	uninfected	early-pupa
mtstpEiu117	incarnata	uninfected	early-pupa
mtstpLci57	curassavica	infected	late-pupa
mtstpLci58	curassavica	infected	late-pupa
mtstpLci60	curassavica	infected	late-pupa
mtstpLci64	curassavica	infected	late-pupa
mtstpLcu49	curassavica	uninfected	late-pupa
mtstpLcu50	curassavica	uninfected	late-pupa
mtstpLcu52	curassavica	uninfected	late-pupa
mtstpLcu53	curassavica	uninfected	late-pupa
mtstpLcu56	curassavica	uninfected	late-pupa
mtstpLii137	incarnata	infected	late-pupa
mtstpLii138	incarnata	infected	late-pupa
mtstpLii140	incarnata	infected	late-pupa
mtstpLii141	incarnata	infected	late-pupa
mtstpLiu129	incarnata	uninfected	late-pupa
mtstpLiu130	incarnata	uninfected	late-pupa
mtstpLiu131	incarnata	uninfected	late-pupa
mtstpLiu133	incarnata	uninfected	late-pupa
mtstpLiu135	incarnata	uninfected	late-pupa
