"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49"
"mtstp5iu98",-298902.279857771,92817.465583664,-110575.350140589,-41774.0121399054,67155.1465155077,21276.722603593,-7036.35624045794,117.500091854786,-3330.001325308,291.765992755216,-3752.33149088056,5061.37694002145,-2863.84419207732,9861.92035336107,-3161.76262354781,1882.32269639113,-2925.70186153531,189.954164959318,3331.18483045439,-3420.86324199675,-3518.16569152588,201.036696041532,7879.12540068765,-441.385308684245,-1308.2793561058,-1901.47209567838,-2532.9142399302,12094.8627978144,1339.00828736361,185.558487327212,110.65685497948,-48.2507022021344,-687.434404226012,43.6544287066219,-95.7246808154559,-1318.24444403629,-5749.43329862746,192.126581077114,2995.07663195079,1375.82537309352,2129.71350391942,1872.74862982571,-4191.06884393435,-2401.85703358137,-78.3481849075201,-110.244024685597,-92.8396150610681,-159.187400195348,-6.43467501504347e-11
"mtstp3cu2",-322989.121690135,87463.4301256563,-51715.0486172384,53098.5754565369,-70084.2818728116,-1461.89619420397,1760.28788097264,-5661.38022946514,7901.72954638438,-9077.63654113263,-12643.0169194553,15958.5488152808,2763.59827674397,-2337.33398254491,1007.23427623748,-582.500268579027,-584.300730285572,-689.7207506065,-1418.11402030207,681.214383960143,998.340555934124,-369.569245062754,1169.9849039919,376.760827299109,-730.677133760603,-141.24453228355,229.507566218688,-1588.77044475761,226.002231880496,-914.650953162351,541.708124441451,764.629885164672,-11116.5848675164,-280.20903803224,536.856102432972,-4722.21883542163,1305.19165286707,-85.8340905960752,429.226887294182,-1849.07388233166,-51.4086928600393,397.752331889554,-542.523993409368,543.168786919449,-177.190523403032,-5252.36358107514,2590.41435931302,26.1060317154907,4.09272615797818e-12
"mtstp5cu17",-283592.284911532,88176.1742785948,-109746.46427511,-51901.9601697116,54259.3378071055,44463.3607173334,-19859.2920714047,3100.92416162736,2371.58490698697,-4175.23595343272,4145.85930703733,-6032.08136051577,-566.561904020632,2173.51314182789,-1037.4865858586,-226.99570986623,-652.399656072595,-2454.65627102489,-1642.80799749254,4660.84593444889,4964.0334157422,26.8080985827414,-1788.62374555812,260.986324527372,1449.58847511655,2229.05997096622,3005.82398702375,-14876.512816161,-1562.93036714632,-402.575626207193,69.9742682435534,50.0382111823179,-302.313404497507,-23.4255620654348,-421.296382011873,-1875.44833789169,-7858.44261718907,-19.6807608197014,-1879.65579146294,755.963709749272,539.043835705716,452.164441200225,-450.433457109502,-559.960037908649,-16.5164066400814,330.85357901518,112.918202988385,58.9396863997691,7.99218469182961e-11
"mtstpLiu130",-234577.713943588,44231.51098751,131122.632230052,16596.3531351349,10788.4149252333,7256.45642942374,6251.79146132329,-32079.4333285809,17840.1117452576,17655.0911986245,3118.26460514828,-5454.31998523494,127.39014680192,-8064.89375035963,1831.68263375198,-5589.37212024145,-119.881672514369,-11149.3210669421,32341.5723041461,-6022.97751896176,8183.03675611599,-384.51361609256,-1971.0174801726,-845.907013239128,1786.76427291306,3382.79103526662,-926.09883537516,262.810836398822,-112.624232556628,-1178.11716288322,213.61444773752,-286.314257676107,-221.757997273313,24.2510379447858,137.715557410454,-258.196249740188,88.7995246749533,-26.9607240436852,-36.1768174073738,0.874290316742304,-36.5704298326576,-12.5887078143421,-127.123144161837,56.4948150101628,65.5970307680938,20.7635558421025,63.9391739169873,37.0855282287284,3.50155460182577e-11
"mtstpLiu133",-148404.951834457,26493.6946307147,205675.841898501,-95474.074231523,-10041.0758167595,-2522.40136518717,-14152.9728115046,2563.54173613127,-17757.0116886048,-19278.4709674857,5553.1628036431,-3746.70767920418,14323.6000032468,-12938.5890019269,2540.34288275094,19608.710726716,-25787.0710390626,7684.59976862253,3439.77546119508,-2907.90458161027,1402.67556045348,-867.496436413787,-12.9996544386063,548.068417830098,296.835567490838,-1674.36173196602,7052.60794649263,1323.64401873869,-1374.19796736069,4953.83923921405,-32.0198486674567,129.42869917818,-448.627046147269,249.445799488235,2278.48052029526,-54.2038702834407,-208.120640241536,35.3423629545812,70.5650319813633,70.0340723142298,-76.3956180637414,22.5139273671256,59.1947848076034,14.303025723664,74.0437297592732,-2.60182039691188,-14.6208380054974,-11.3727397098436,1.54614099301398e-11
"mtstpEcu38",211851.958349519,219051.783739223,15508.1544490856,142410.872459193,63079.9857389436,-33503.2503069686,-38423.2480523532,3980.49358332336,7392.85068810183,-4005.21978861077,5069.88562692036,153.952758657804,-16606.9378776341,-17479.4127143467,-37588.0094103648,-554.185875620796,-1096.70918067462,3539.672334495,-1159.92546927727,-1077.65149763516,77.2944397853807,2657.56339481988,462.36678303907,5251.96367817491,1579.56370938527,1590.04667936474,680.322157554167,324.894252241273,253.120971325056,-178.10483826038,-2104.07107035156,-53.7731402767715,-171.092370116337,-30.4677602234099,-124.130822440489,-29.6019653245638,14.0619104856106,-206.378280882771,44.970291154254,104.55578655425,-49.8713709509734,-5.82593180399547,22.1107298337195,-8.97297238608222,-25.7281429508324,-17.466855125106,13.6148157243797,-0.783284548734031,1.61435309564695e-11
"mtstpAiu148",7085.3463345185,-301777.144865228,12680.3902274539,123738.964294871,50064.6641256471,14270.7083238588,45211.6154454048,11407.5290724724,-2553.7426807864,-9382.6300518519,27568.1615233338,9385.85004920046,995.546171419885,615.941314552894,2029.60478273821,-1594.73540994419,-2197.68329256504,509.904433179255,-329.112314035708,-201.917480061196,180.91224615803,-7.01462309282095,-140.134828643101,1124.61781474147,-15497.3497622018,10862.903275636,2580.73374276767,-50.9798969601205,6786.94350602778,1187.90727905779,-106.259045418459,-27.1042200812319,256.874518440117,-2039.78824473392,-231.666143070226,-3.94111961825007,-7.7236016472105,-69.4248148092533,41.0117585444075,-4.98028486184879,-19.9101545607903,14.8032697718034,28.1163375414317,-15.4410051111551,22.7119293630079,10.3747636210602,-15.8644117117541,-11.236702070222,-7.83870746090543e-11
"mtstp5iu100",-284068.35818976,90754.3075229966,-118829.036844408,-61025.9746691001,72612.6360291381,29643.7067001539,-12166.3522669115,2808.24953103663,-4402.2682824489,1411.30829283004,-201.300161921055,2984.02051002617,-1643.19046826262,8245.45160667365,-3642.04911636314,1619.18063536952,-3039.03464654421,-1551.40748005064,2120.42632629235,-529.750519582859,-1506.7674491461,237.278000721083,6652.76746917994,-1111.99598510773,60.3812768276393,168.025627798498,223.442399648064,385.624280182685,111.490855861311,110.822939991459,-175.776362734378,-10.0443710749838,721.458871279929,-40.1222463796095,550.850550553227,-1098.03482612162,6805.9952570322,-803.776906090135,-9015.35851035722,2527.06877791326,1351.73845692916,1952.43836677749,-355.926089939735,-638.887252527805,92.2902109104764,-76.9813989636935,-22.0760804105662,-1.93593459017623,3.76303432858549e-11
"mtstpLiu131",-181793.63542828,-14144.7042839865,92305.5316030798,10517.0228105537,1492.51004564283,4306.43029609788,24806.5340309383,28575.4311527753,59753.6340568123,44384.308666182,-9626.1511966691,-12322.0369292617,3350.40551946416,1551.88977357529,-2204.00977700871,7389.02718615891,-14052.3840988099,-3803.98825763194,-5736.59150515486,8577.53868230377,-8814.34574634692,278.372407929824,-873.199713638865,2541.9682631289,-1886.35769594373,-891.324777076894,-1624.85386726345,-415.724277944716,-47.9758845063851,500.530019172769,3.03063068059555,175.754456278141,-311.640448932267,152.357987082791,-233.25423493085,-104.442721261844,67.2475195056104,-5.14951068445168,59.6902595063597,-28.8941341740135,-40.4925691996388,10.3543874682084,-112.187561604604,44.6905878042488,47.9488826624757,34.3517250877094,46.69193760234,17.2834081989157,-4.54747350886464e-12
"mtstpAiu147",151619.558095947,-424974.186191687,-10684.1232815091,80312.4655962821,32136.1486795215,9788.58727215031,21767.0947919893,2731.35019410388,-13536.8554459144,-5725.74071979947,-4809.30400125454,-7130.67537793415,5295.1570663291,-4130.19290726296,-1728.34605007099,4078.18142077732,-832.006522049587,-18750.7089020399,-7100.08190873436,-9460.0679861058,659.965320043897,660.147649965303,212.722796226164,732.956773118465,1284.89286191127,-1471.10746895842,-1662.2539979491,908.645183529076,-10090.5235754613,-1355.13655103792,-877.770153924972,7491.42983974609,593.960562278507,-8885.82354043167,63.8044172601403,-41.9986297950286,-48.3325604731183,36.5515718307716,2.58390673778052,52.0951958589239,-73.1685842307336,57.9526758373769,17.5757158326076,7.63966483398423,-182.310120687737,-11.1587996692692,-5.4345073152229,-5.20091725278871,-1.14823706098832e-10
