DateTime,Indoor PAR Z4 (PAR)
Mon May 1 00:22:22 2023,-0.000561667
Mon May 1 01:22:22 2023,-0.000563333
Mon May 1 02:22:22 2023,-0.0005625
Mon May 1 03:22:22 2023,-0.0005625
Mon May 1 04:22:22 2023,-0.000565
Mon May 1 05:22:22 2023,-0.000563333
Mon May 1 06:22:22 2023,3.27459
Mon May 1 07:22:22 2023,42.0091
Mon May 1 08:22:22 2023,121.033
Mon May 1 09:22:22 2023,181.911
Mon May 1 10:22:22 2023,198.319
Mon May 1 11:22:22 2023,277.586
Mon May 1 12:22:22 2023,216.589
Mon May 1 13:22:22 2023,294.432
Mon May 1 14:22:22 2023,314.985
Mon May 1 15:22:22 2023,204.278
Mon May 1 16:22:22 2023,118.655
Mon May 1 17:22:22 2023,72.4482
Mon May 1 18:22:22 2023,46.2576
Mon May 1 19:22:22 2023,21.82
Mon May 1 20:22:22 2023,0.0348858
Mon May 1 21:22:22 2023,-0.00025
Mon May 1 22:22:22 2023,-0.00025
Mon May 1 23:22:22 2023,-0.00025
Tue May 2 00:22:22 2023,-0.00025
Tue May 2 01:22:22 2023,-0.00025
Tue May 2 02:22:22 2023,-0.00025
Tue May 2 03:22:22 2023,-0.00025
Tue May 2 04:22:22 2023,-0.00025
Tue May 2 05:22:22 2023,-0.00025
Tue May 2 06:22:22 2023,3.39251
Tue May 2 07:22:22 2023,43.0068
Tue May 2 08:22:22 2023,122.85
Tue May 2 09:22:22 2023,185.809
Tue May 2 10:22:22 2023,196.3
Tue May 2 11:22:22 2023,289.058
Tue May 2 12:22:22 2023,225.554
Tue May 2 13:22:22 2023,290.548
Tue May 2 14:22:22 2023,317.226
Tue May 2 15:22:22 2023,190.294
Tue May 2 16:22:22 2023,121.512
Tue May 2 17:22:22 2023,71.7484
Tue May 2 18:22:22 2023,61.0073
Tue May 2 19:22:22 2023,28.2583
Tue May 2 20:22:22 2023,0.0436375
Tue May 2 21:22:22 2023,-0.000343333
Tue May 2 22:22:22 2023,-0.000340833
Tue May 2 23:22:22 2023,-0.000341667
Wed May 3 00:22:22 2023,-0.00034
Wed May 3 01:22:22 2023,-0.000341667
Wed May 3 02:22:22 2023,-0.000340833
Wed May 3 03:22:22 2023,-0.0003425
Wed May 3 04:22:22 2023,-0.0003425
Wed May 3 05:22:22 2023,-0.000340833
Wed May 3 06:22:22 2023,3.63261
Wed May 3 07:22:22 2023,43.1856
Wed May 3 08:22:22 2023,122.604
Wed May 3 09:22:22 2023,188.421
Wed May 3 10:22:22 2023,194.567
Wed May 3 11:22:22 2023,298.818
Wed May 3 12:22:22 2023,230.391
Wed May 3 13:22:22 2023,290.417
Wed May 3 14:22:22 2023,316.664
Wed May 3 15:22:22 2023,223.428
Wed May 3 16:22:22 2023,119.408
Wed May 3 17:22:22 2023,70.9027
Wed May 3 18:22:22 2023,70.7646
Wed May 3 19:22:22 2023,41.0013
Wed May 3 20:22:22 2023,0.0497658
Wed May 3 21:22:22 2023,9.00E-05
Wed May 3 22:22:22 2023,9.00E-05
Wed May 3 23:22:22 2023,9.00E-05
Thu May 4 00:22:22 2023,9.00E-05
Thu May 4 01:22:22 2023,9.00E-05
Thu May 4 02:22:22 2023,9.00E-05
Thu May 4 03:22:22 2023,9.00E-05
Thu May 4 04:22:22 2023,9.00E-05
Thu May 4 05:22:22 2023,8.92E-05
Thu May 4 06:22:22 2023,4.36375
Thu May 4 07:22:22 2023,41.015
Thu May 4 08:22:22 2023,117.161
Thu May 4 09:22:22 2023,191.039
Thu May 4 10:22:22 2023,195.268
Thu May 4 11:22:22 2023,308.665
Thu May 4 12:22:22 2023,234.064
Thu May 4 13:22:22 2023,282.452
Thu May 4 14:22:22 2023,289.396
Thu May 4 15:22:22 2023,224.177
Thu May 4 16:22:22 2023,135.198
Thu May 4 17:22:22 2023,77.1608
Thu May 4 18:22:22 2023,72.4243
Thu May 4 19:22:22 2023,22.8962
Thu May 4 20:22:22 2023,0.0276883
Thu May 4 21:22:22 2023,0
Thu May 4 22:22:22 2023,0
Thu May 4 23:22:22 2023,0
Fri May 5 00:22:22 2023,0
Fri May 5 01:22:22 2023,0
Fri May 5 02:22:22 2023,0
Fri May 5 03:22:22 2023,0
Fri May 5 04:22:22 2023,0
Fri May 5 05:22:22 2023,0
Fri May 5 06:22:22 2023,0.97379
Fri May 5 07:22:22 2023,21.8191
Fri May 5 08:22:22 2023,50.93
Fri May 5 09:22:22 2023,48.0629
Fri May 5 10:22:22 2023,71.4033
Fri May 5 11:22:22 2023,130.466
Fri May 5 12:22:22 2023,135.817
Fri May 5 13:22:22 2023,77.7166
Fri May 5 14:22:22 2023,91.2584
Fri May 5 15:22:22 2023,64.9121
Fri May 5 16:22:22 2023,45.3012
Fri May 5 17:22:22 2023,33.3555
Fri May 5 18:22:22 2023,12.8603
Fri May 5 19:22:22 2023,2.99815
Fri May 5 20:22:22 2023,0
Fri May 5 21:22:22 2023,0
Fri May 5 22:22:22 2023,0
Fri May 5 23:22:22 2023,0
Sat May 6 00:22:22 2023,0
Sat May 6 01:22:22 2023,0
Sat May 6 02:22:22 2023,0
Sat May 6 03:22:22 2023,0
Sat May 6 04:22:22 2023,0
Sat May 6 05:22:22 2023,0
Sat May 6 06:22:22 2023,0.90667
Sat May 6 07:22:22 2023,13.4541
Sat May 6 08:22:22 2023,38.0547
Sat May 6 09:22:22 2023,92.288
Sat May 6 10:22:22 2023,177.192
Sat May 6 11:22:22 2023,216.792
Sat May 6 12:22:22 2023,236.674
Sat May 6 13:22:22 2023,232.141
Sat May 6 14:22:22 2023,177.628
Sat May 6 15:22:22 2023,160.308
Sat May 6 16:22:22 2023,115.296
Sat May 6 17:22:22 2023,66.2605
Sat May 6 18:22:22 2023,33.5943
Sat May 6 19:22:22 2023,11.1658
Sat May 6 20:22:22 2023,0.0436875
