DateTime,Indoor RH Z4 (%)
Mon May 1 00:11:01 2023,34.1243
Mon May 1 01:11:01 2023,34.7924
Mon May 1 02:11:01 2023,34.0206
Mon May 1 03:11:01 2023,34.2181
Mon May 1 04:11:01 2023,33.9116
Mon May 1 05:11:01 2023,34.4761
Mon May 1 06:11:01 2023,33.9208
Mon May 1 07:11:01 2023,38.485
Mon May 1 08:11:01 2023,37.3295
Mon May 1 09:11:01 2023,31.7736
Mon May 1 10:11:01 2023,25.8303
Mon May 1 11:11:01 2023,35.3766
Mon May 1 12:11:01 2023,29.5041
Mon May 1 13:11:01 2023,32.1419
Mon May 1 14:11:01 2023,30.8457
Mon May 1 15:11:01 2023,30.7733
Mon May 1 16:11:01 2023,29.4579
Mon May 1 17:11:01 2023,20.2016
Mon May 1 18:11:01 2023,21.1448
Mon May 1 19:11:01 2023,25.3772
Mon May 1 20:11:01 2023,27.003
Mon May 1 21:11:01 2023,25.8797
Mon May 1 22:11:01 2023,27.7442
Mon May 1 23:11:01 2023,29.1091
Tue May 2 00:11:01 2023,29.9856
Tue May 2 01:11:01 2023,30.4779
Tue May 2 02:11:01 2023,30.2802
Tue May 2 03:11:01 2023,29.9286
Tue May 2 04:11:01 2023,29.8587
Tue May 2 05:11:01 2023,29.4509
Tue May 2 06:11:01 2023,30.0953
Tue May 2 07:11:01 2023,30.9364
Tue May 2 08:11:01 2023,30.5299
Tue May 2 09:11:01 2023,27.5028
Tue May 2 10:11:01 2023,27.0665
Tue May 2 11:11:01 2023,34.3222
Tue May 2 12:11:01 2023,35.6658
Tue May 2 13:11:01 2023,26.8008
Tue May 2 14:11:01 2023,34.3846
Tue May 2 15:11:01 2023,29.9897
Tue May 2 16:11:01 2023,23.6983
Tue May 2 17:11:01 2023,22.666
Tue May 2 18:11:01 2023,22.5246
Tue May 2 19:11:01 2023,25.1593
Tue May 2 20:11:01 2023,29.429
Tue May 2 21:11:01 2023,27.7046
Tue May 2 22:11:01 2023,26.7034
Tue May 2 23:11:01 2023,27.2208
Wed May 3 00:11:01 2023,27.6204
Wed May 3 01:11:01 2023,27.3111
Wed May 3 02:11:01 2023,27.2756
Wed May 3 03:11:01 2023,28.1994
Wed May 3 04:11:01 2023,28.4142
Wed May 3 05:11:01 2023,28.8195
Wed May 3 06:11:01 2023,28.5065
Wed May 3 07:11:01 2023,30.6244
Wed May 3 08:11:01 2023,30.5465
Wed May 3 09:11:01 2023,26.4616
Wed May 3 10:11:01 2023,18.0729
Wed May 3 11:11:01 2023,28.9509
Wed May 3 12:11:01 2023,27.9492
Wed May 3 13:11:01 2023,31.9296
Wed May 3 14:11:01 2023,27.3761
Wed May 3 15:11:01 2023,36.9396
Wed May 3 16:11:01 2023,37.1635
