DateTime,Indoor Temp Z4 (F)
Mon May 1 00:03:41 2023,76.0985
Mon May 1 01:03:41 2023,76.3724
Mon May 1 02:03:41 2023,76.6727
Mon May 1 03:03:41 2023,76.3998
Mon May 1 04:03:41 2023,76.9899
Mon May 1 05:03:41 2023,76.9899
Mon May 1 06:03:41 2023,76.7269
Mon May 1 07:03:41 2023,77.1433
Mon May 1 08:03:41 2023,77.6072
Mon May 1 09:03:41 2023,82.757
Mon May 1 10:03:41 2023,83.5159
Mon May 1 11:03:41 2023,83.8656
Mon May 1 12:03:41 2023,84.292
Mon May 1 13:03:41 2023,83.8442
Mon May 1 14:03:41 2023,84.2472
Mon May 1 15:03:41 2023,84.3162
Mon May 1 16:03:41 2023,83.8034
Mon May 1 17:03:41 2023,84.3747
Mon May 1 18:03:41 2023,81.7517
Mon May 1 19:03:41 2023,77.0037
Mon May 1 20:03:41 2023,75.5891
Mon May 1 21:03:41 2023,77.7006
Mon May 1 22:03:41 2023,76.2104
Mon May 1 23:03:41 2023,76.2683
Tue May 2 00:03:41 2023,76.4192
Tue May 2 01:03:41 2023,76.1648
Tue May 2 02:03:41 2023,76.2058
Tue May 2 03:03:41 2023,76.8781
Tue May 2 04:03:41 2023,76.4926
Tue May 2 05:03:41 2023,76.8163
Tue May 2 06:03:41 2023,76.6523
Tue May 2 07:03:41 2023,76.5965
Tue May 2 08:03:41 2023,78.473
Tue May 2 09:03:41 2023,83.3898
Tue May 2 10:03:41 2023,85.1479
Tue May 2 11:03:41 2023,84.2802
Tue May 2 12:03:41 2023,83.6154
Tue May 2 13:03:41 2023,84.1654
Tue May 2 14:03:41 2023,84.0068
Tue May 2 15:03:41 2023,84.6933
Tue May 2 16:03:41 2023,84.783
Tue May 2 17:03:41 2023,83.5255
Tue May 2 18:03:41 2023,82.461
Tue May 2 19:03:41 2023,78.7124
Tue May 2 20:03:41 2023,74.982
Tue May 2 21:03:41 2023,75.9834
Tue May 2 22:03:41 2023,76.3636
Tue May 2 23:03:41 2023,76.1536
Wed May 3 00:03:41 2023,75.9875
Wed May 3 01:03:41 2023,76.4238
Wed May 3 02:03:41 2023,76.5938
Wed May 3 03:03:41 2023,77.0507
Wed May 3 04:03:41 2023,76.5166
Wed May 3 05:03:41 2023,77.3877
Wed May 3 06:03:41 2023,77.0416
Wed May 3 07:03:41 2023,76.6709
Wed May 3 08:03:41 2023,76.8601
Wed May 3 09:03:41 2023,83.3497
Wed May 3 10:03:41 2023,84.7133
Wed May 3 11:03:41 2023,83.8461
Wed May 3 12:03:41 2023,84.4048
Wed May 3 13:03:41 2023,84.234
Wed May 3 14:03:41 2023,84.9273
Wed May 3 15:03:41 2023,84.1878
Wed May 3 16:03:41 2023,83.7852
Wed May 3 17:03:41 2023,83.8046
Wed May 3 18:03:41 2023,82.6981
Wed May 3 19:03:41 2023,79.0153
Wed May 3 20:03:41 2023,75.1131
Wed May 3 21:03:41 2023,76.0116
Wed May 3 22:03:41 2023,75.851
Wed May 3 23:03:41 2023,76.5618
Thu May 4 00:03:41 2023,76.1881
Thu May 4 01:03:41 2023,76.4408
Thu May 4 02:03:41 2023,76.1703
Thu May 4 03:03:41 2023,76.6813
Thu May 4 04:03:41 2023,76.4455
Thu May 4 05:03:41 2023,76.7241
Thu May 4 06:03:41 2023,76.9168
Thu May 4 07:03:41 2023,76.6061
Thu May 4 08:03:41 2023,76.842
Thu May 4 09:03:41 2023,83.898
Thu May 4 10:03:41 2023,84.4332
Thu May 4 11:03:41 2023,83.7258
Thu May 4 12:03:41 2023,84.3872
Thu May 4 13:03:41 2023,84.5269
Thu May 4 14:03:41 2023,83.8779
Thu May 4 15:03:41 2023,84.5995
Thu May 4 16:03:41 2023,84.8777
Thu May 4 17:03:41 2023,85.1495
Thu May 4 18:03:41 2023,83.4699
Thu May 4 19:03:41 2023,80.2228
Thu May 4 20:03:41 2023,75.4082
Thu May 4 21:03:41 2023,75.3362
Thu May 4 22:03:41 2023,75.5168
Thu May 4 23:03:41 2023,76.2807
Fri May 5 00:03:41 2023,76.2398
Fri May 5 01:03:41 2023,76.3189
Fri May 5 02:03:41 2023,76.3079
Fri May 5 03:03:41 2023,76.4379
Fri May 5 04:03:41 2023,76.0354
Fri May 5 05:03:41 2023,76.5427
Fri May 5 06:03:41 2023,76.1281
Fri May 5 07:03:41 2023,76.3322
Fri May 5 08:03:41 2023,74.4042
Fri May 5 09:03:41 2023,75.0677
Fri May 5 10:03:41 2023,75.5072
Fri May 5 11:03:41 2023,77.7201
Fri May 5 12:03:41 2023,82.5092
Fri May 5 13:03:41 2023,80.8728
