sample-id	tube-id	homogenization-date	batch	date	ng-ul-1	ng-ul-2	avg-ng-ul	a260-a280-1	a260-a280-2	avg-a260-a280	a260-a230-1	a260-a230-2	avg-a260-a230	status
mtstp_Liu131	mtstpLiu131	06-30-2023	1	07-03-2023	256.5	256.7	256.6	2.15	2.14	2.145	2.35	2.35	2.35	passed
mtstp_5ci26	mtstp5ci26	06-27-2023	3	07-04-2023	230.6	228.3	229.45	2.13	2.13	2.13	2.34	2.35	2.345	passed
mtstp_Eii124	mtstpEii124	06-28-2023	3	07-04-2023	271.1	271.4	271.25	2.12	2.12	2.12	2.34	2.34	2.34	passed
mtstp_5ci28	mtstp5ci28	06-27-2023	4	07-05-2023	165.6	165.5	165.55	2.11	2.12	2.115	2.33	2.33	2.33	passed
mtstp_5iu100	mtstp5iu100	06-27-2023	2	07-03-2023	260.8	262.9	261.85	2.13	2.13	2.13	2.33	2.32	2.325	passed
mtstp_3cu3	mtstp3cu3	06-23-2023	2	07-03-2023	275.9	277.1	276.5	2.13	2.13	2.13	2.31	2.32	2.315	passed
mtstp_Eiu113	mtstpEiu113	06-28-2023	5	07-05-2023	261.5	250.3	255.9	2.13	2.12	2.125	2.32	2.31	2.315	passed
mtstp_Lci57	mtstpLci57	06-30-2023	2	07-03-2023	248.7	247.4	248.05	2.12	2.13	2.125	2.31	2.31	2.31	passed
mtstp_5cu19	mtstp5cu19	06-27-2023	1	07-03-2023	401.9	403.2	402.55	2.14	2.14	2.14	2.3	2.31	2.305	passed
mtstp_5ii108	mtstp5ii108	06-27-2023	1	07-03-2023	374.6	373.3	373.95	2.14	2.13	2.135	2.31	2.3	2.305	passed
mtstp_5cu21	mtstp5cu21	06-27-2023	3	07-04-2023	239	240.1	239.55	2.13	2.13	2.13	2.31	2.3	2.305	passed
mtstp_Eiu114	mtstpEiu114	06-28-2023	1	07-03-2023	372.5	364.1	368.3	2.13	2.12	2.125	2.29	2.28	2.285	passed
mtstp_Eci42	mtstpEci42	06-28-2023	1	07-03-2023	329.7	332.2	330.95	2.12	2.12	2.12	2.28	2.28	2.28	passed
mtstp_Aci73	mtstpAci73	07-01-2023	2	07-03-2023	112.9	112	112.45	2.11	2.12	2.115	2.28	2.28	2.28	passed
mtstp_3ii94	mtstp3ii94	06-23-2023	13	08-10-2023	94.6	95	94.8	2.12	2.12	2.12	2.27	2.26	2.265	passed
mtstp_Lci64	mtstpLci64	06-30-2023	1	07-03-2023	190.5	192.9	191.7	2.12	2.11	2.115	2.26	2.27	2.265	passed
mtstp_Eii122	mtstpEii122	06-28-2023	10	08-07-2023	106.9	107.4	107.15	2.11	2.12	2.115	2.26	2.26	2.26	passed
mtstp_3ci13	mtstp3ci13	06-23-2023	5	07-05-2023	118.5	117.1	117.8	2.12	2.12	2.12	2.25	2.25	2.25	passed
mtstp_Aii155	mtstpAii155	07-01-2023	3	07-04-2023	80	79.6	79.8	2.09	2.11	2.1	2.25	2.22	2.235	passed
mtstp_3ii89	mtstp3ii89	06-23-2023	1	07-03-2023	197.2	198.1	197.65	2.12	2.12	2.12	2.23	2.23	2.23	passed
mtstp_Eii121	mtstpEii121	06-28-2023	1	07-03-2023	218.5	215	216.75	2.11	2.11	2.11	2.23	2.23	2.23	passed
mtstp_Acu68	mtstpAcu68	07-01-2023	9	07-18-2023	62.9	62.9	62.9	2.11	2.12	2.115	2.22	2.23	2.225	passed
mtstp_3ii90	mtstp3ii90	06-23-2023	6	07-07-2023	103.6	104.4	104	2.12	2.13	2.125	2.21	2.22	2.215	passed
