sample-id	batch	date	ng-ul-1	ng-ul-2	a260-a280-1	a260-a280-2	a260-a230-1	a260-a230-2	status
mtstp_3ci11	1	07-03-2023	171.9	173.2	2.12	2.12	2.14	2.15	passed
mtstp_3ii89	1	07-03-2023	197.2	198.1	2.12	2.12	2.23	2.23	passed
mtstp_5cu19	1	07-03-2023	401.9	403.2	2.14	2.14	2.3	2.31	passed
mtstp_5ii108	1	07-03-2023	374.6	373.3	2.14	2.13	2.31	2.3	passed
mtstp_Eci42	1	07-03-2023	329.7	332.2	2.12	2.12	2.28	2.28	passed
mtstp_Eii121	1	07-03-2023	218.5	215	2.11	2.11	2.23	2.23	passed
mtstp_Eiu114	1	07-03-2023	372.5	364.1	2.13	2.12	2.29	2.28	passed
mtstp_Lci64	1	07-03-2023	190.5	192.9	2.12	2.11	2.26	2.27	passed
mtstp_Liu131	1	07-03-2023	256.5	256.7	2.15	2.14	2.35	2.35	passed
mtstp_Aci76	1	07-03-2023	112.1	112.9	2.13	2.13	2.18	2.18	passed
mtstp_Aiu146	1	07-03-2023	153.8	155.1	2.11	2.12	2.02	2.01	passed
batch1_negative	1	07-03-2023	-0.1	0	-0.31	-0.14	-0.01	0	NA
mtstp_3cu3	2	07-03-2023	275.9	277.1	2.13	2.13	2.31	2.32	passed
mtstp_3iu83	2	07-03-2023	235.9	237.1	2.13	2.12	2.21	2.21	passed
mtstp_5cu17	2	07-03-2023	231.8	233.8	2.13	2.13	2.14	2.15	passed
mtstp_5iu100	2	07-03-2023	260.8	262.9	2.13	2.13	2.33	2.32	passed
mtstp_Eci43	2	07-03-2023	209	211.5	2.11	2.12	2.2	2.2	passed
mtstp_Ecu35	2	07-03-2023	367.8	362.7	2.13	2.13	2.07	2.07	passed
mtstp_Lci57	2	07-03-2023	248.7	247.4	2.12	2.13	2.31	2.31	passed
mtstp_Lcu56	2	07-03-2023	289.1	229.8	2.15	2.11	2.02	1.98	passed
mtstp_Aci73	2	07-03-2023	112.9	112	2.11	2.12	2.28	2.28	passed
mtstp_Acu69	2	07-03-2023	111.1	111.2	2.13	2.12	2.18	2.15	passed
mtstp_Aiu149	2	07-03-2023	205.5	205.6	2.12	2.13	2.22	2.21	passed
batch2_negative	2	07-03-2023	-0.3	-0.3	2	1.68	-0.1	-0.16	NA
mtstp_3ci9	3	07-04-2023	222	223.2	2.13	2.13	1.97	1.97	passed
mtstp_3ii92	3	07-04-2023	155.9	156.7	2.13	2.12	2.07	2.06	passed
mtstp_5ci26	3	07-04-2023	230.6	228.3	2.13	2.13	2.34	2.35	passed
mtstp_5cu21	3	07-04-2023	239	240.1	2.13	2.13	2.31	2.3	passed
mtstp_Eii124	3	07-04-2023	271.1	271.4	2.12	2.12	2.34	2.34	passed
mtstp_Eiu117	3	07-04-2023	220.8	220.7	2.12	2.12	2.14	2.14	passed
mtstp_Lcu52	3	07-04-2023	100.5	100.7	2.1	2.1	1.86	1.87	failed
mtstp_Lii138	3	07-04-2023	139.3	139.3	2.11	2.11	2.02	2.03	passed
mtstp_Lii144	3	07-04-2023	142.4	143.2	2.12	2.1	1.86	1.85	failed
mtstp_Acu66	9	07-18-20223	58.4	58.5	2.11	2.15	2.01	2.01	passed
mtstp_Aii155	3	07-04-2023	80	79.6	2.09	2.11	2.25	2.22	passed
batch3_negative	3	07-04-2023	-0.2	-0.5	7.54	3.27	-0.02	-0.07	NA
mtstp_3cu5	4	07-05-2023	132.5	131.6	2.12	2.12	2.2	2.2	passed
mtstp_3iu81	4	07-05-2023	122.6	123.1	2.11	2.12	2.19	2.18	passed
mtstp_3iu85	4	07-05-2023	108	109.2	2.13	2.12	1.58	1.57	failed
mtstp_5ci28	4	07-05-2023	165.6	165.5	2.11	2.12	2.33	2.33	passed
mtstp_5iu98	4	07-05-2023	166.3	165.5	2.12	2.12	2.06	2.06	passed
mtstp_Eci45	4	07-05-2023	188.2	189.9	2.12	2.11	2.08	2.09	passed
mtstp_Ecu38	4	07-05-2023	169.7	169.8	2.11	2.11	1.92	1.92	failed
mtstp_Lci60	4	07-05-2023	91.8	91.9	2.1	2.1	2.13	2.12	passed
mtstp_Lii141	9	07-18-20223	54.3	55.4	2.15	2.11	2.22	2.18	passed
mtstp_Acu65	4	07-05-2023	58.1	58.3	2.14	2.13	1.44	1.48	failed
mtstp_Aii157	9	07-18-2023	47.9	48	2.14	2.15	2.17	2.16	passed
batch4_negative	4	07-05-2023	-1	-1.1	3.03	1.59	-0.4	-0.46	NA
mtstp_3ci13	5	07-05-2023	118.5	117.1	2.12	2.12	2.25	2.25	passed
mtstp_3ii91	5	07-05-2023	78.4	77.8	2.1	2.11	1.9	1.91	failed
mtstp_5cu18	5	07-05-2023	145	145.8	2.12	2.12	2.19	2.18	passed
mtstp_5ii105	5	07-05-2023	146.2	145.3	2.12	2.12	2	2	passed
mtstp_5iu97	5	07-05-2023	105.8	105.4	2.11	2.11	1.68	1.68	failed
mtstp_Ecu34	5	07-05-2023	143.7	142.3	2.11	2.11	2.07	2.06	passed
mtstp_Eiu113	5	07-05-2023	261.5	250.3	2.13	2.12	2.32	2.31	passed
mtstp_Lcu49	5	07-05-2023	54.8	55.2	2.1	2.1	1.96	1.96	passed
mtstp_Liu129	5	07-05-2023	94.1	93.5	2.11	2.08	2.21	2.22	passed
mtstp_Aci74	5	07-05-2023	61.6	61.7	2.09	2.11	1.96	1.97	passed
mtstp_Acu68	9	07-18-2023	62.9	62.9	2.11	2.12	2.22	2.23	passed
batch5_negative	5	07-05-2023	-0.5	-0.3	-3.63	3.77	-0.04	-0.02	NA
