date-time,par
Sun Apr 30 10:41:46 2023,135.311
Sun Apr 30 11:11:46 2023,160.168
Sun Apr 30 11:41:46 2023,244.439
Sun Apr 30 12:11:46 2023,209.187
Sun Apr 30 12:41:46 2023,191.24
Sun Apr 30 13:11:46 2023,196.929
Sun Apr 30 13:41:46 2023,305.355
Sun Apr 30 14:11:46 2023,269.284
Sun Apr 30 14:41:46 2023,220.533
Sun Apr 30 15:11:46 2023,220.921
Sun Apr 30 15:41:46 2023,183.51
Sun Apr 30 16:11:46 2023,158.009
Sun Apr 30 16:41:46 2023,107.329
Sun Apr 30 17:11:46 2023,91.1377
Sun Apr 30 17:41:46 2023,82.9424
Sun Apr 30 18:11:46 2023,53.3981
Sun Apr 30 18:41:46 2023,42.4601
Sun Apr 30 19:11:46 2023,58.9993
Sun Apr 30 19:41:46 2023,12.6903
Sun Apr 30 20:11:46 2023,0.507822
Sun Apr 30 20:41:46 2023,-0.000561667
Sun Apr 30 21:11:46 2023,-0.000558333
Sun Apr 30 21:41:46 2023,-0.00056
Sun Apr 30 22:11:46 2023,-0.000561667
Sun Apr 30 22:41:46 2023,-0.000566667
Sun Apr 30 23:11:46 2023,-0.000563333
Sun Apr 30 23:41:46 2023,-0.000563333
Mon May 1 00:11:46 2023,-0.000563333
Mon May 1 00:41:46 2023,-0.000561667
Mon May 1 01:11:46 2023,-0.00056
Mon May 1 01:41:46 2023,-0.000566667
Mon May 1 02:11:46 2023,-0.000561667
Mon May 1 02:41:46 2023,-0.000561667
Mon May 1 03:11:46 2023,-0.000563333
Mon May 1 03:41:46 2023,-0.000561667
Mon May 1 04:11:46 2023,-0.000565
Mon May 1 04:41:46 2023,-0.000565
Mon May 1 05:11:46 2023,-0.000563333
Mon May 1 05:41:46 2023,-0.000563333
Mon May 1 06:11:46 2023,-0.000563333
Mon May 1 06:41:46 2023,3.32486
Mon May 1 07:11:46 2023,17.0725
Mon May 1 07:41:46 2023,45.7981
Mon May 1 08:11:46 2023,84.2483
Mon May 1 08:41:46 2023,126.469
Mon May 1 09:11:46 2023,162.978
Mon May 1 09:41:46 2023,185.271
Mon May 1 10:11:46 2023,216.436
Mon May 1 10:41:46 2023,177.762
Mon May 1 11:11:46 2023,258.813
Mon May 1 11:41:46 2023,291.979
Mon May 1 12:11:46 2023,212.217
Mon May 1 12:41:46 2023,206.772
Mon May 1 13:11:46 2023,256.807
Mon May 1 13:41:46 2023,316.94
Mon May 1 14:11:46 2023,342.451
Mon May 1 14:41:46 2023,297.893
Mon May 1 15:11:46 2023,272.27
Mon May 1 15:41:46 2023,182.36
Mon May 1 16:11:46 2023,143.901
Mon May 1 16:41:46 2023,114.264
Mon May 1 17:11:46 2023,84.2369
Mon May 1 17:41:46 2023,70.7025
Mon May 1 18:11:46 2023,54.1185
Mon May 1 18:41:46 2023,43.4045
