date-time,temperature_f
Sun Apr 30 10:36:16 2023,76.5524
Sun Apr 30 11:06:16 2023,82.1867
Sun Apr 30 11:36:16 2023,82.5397
Sun Apr 30 12:06:16 2023,84.7015
Sun Apr 30 12:36:16 2023,84.6944
Sun Apr 30 13:06:16 2023,84.3976
Sun Apr 30 13:36:16 2023,84.5119
Sun Apr 30 14:06:16 2023,84.6785
Sun Apr 30 14:36:16 2023,84.891
Sun Apr 30 15:06:16 2023,84.4557
Sun Apr 30 15:36:16 2023,84.7271
Sun Apr 30 16:06:16 2023,85.8734
Sun Apr 30 16:36:16 2023,84.0489
Sun Apr 30 17:06:16 2023,83.6335
Sun Apr 30 17:36:16 2023,84.4346
Sun Apr 30 18:06:16 2023,82.3051
Sun Apr 30 18:36:16 2023,80.7999
Sun Apr 30 19:06:16 2023,76.9993
Sun Apr 30 19:36:16 2023,74.5088
Sun Apr 30 20:06:16 2023,75.6403
Sun Apr 30 20:36:16 2023,76.0251
Sun Apr 30 21:06:16 2023,76.4877
Sun Apr 30 21:36:16 2023,75.8323
Sun Apr 30 22:06:16 2023,76.0646
Sun Apr 30 22:36:16 2023,76.3824
Sun Apr 30 23:06:16 2023,75.9903
Sun Apr 30 23:36:16 2023,76.5608
Mon May 1 00:06:16 2023,76.1301
Mon May 1 00:36:16 2023,76.2001
Mon May 1 01:06:16 2023,76.4784
Mon May 1 01:36:16 2023,76.344
Mon May 1 02:06:16 2023,76.2481
Mon May 1 02:36:16 2023,76.5294
Mon May 1 03:06:16 2023,76.7656
Mon May 1 03:36:16 2023,76.9966
Mon May 1 04:06:16 2023,76.778
Mon May 1 04:36:16 2023,76.4994
Mon May 1 05:06:16 2023,76.8753
Mon May 1 05:36:16 2023,76.9547
Mon May 1 06:06:16 2023,77.2163
Mon May 1 06:36:16 2023,77.0803
Mon May 1 07:06:16 2023,76.2879
Mon May 1 07:36:16 2023,77.2851
Mon May 1 08:06:16 2023,75.7408
Mon May 1 08:36:16 2023,80.7416
Mon May 1 09:06:16 2023,82.6345
Mon May 1 09:36:16 2023,82.6458
Mon May 1 10:06:16 2023,83.0375
Mon May 1 10:36:16 2023,84.3337
Mon May 1 11:06:16 2023,84.3869
Mon May 1 11:36:16 2023,83.2221
Mon May 1 12:06:16 2023,84.8282
Mon May 1 12:36:16 2023,83.7566
Mon May 1 13:06:16 2023,83.9363
Mon May 1 13:36:16 2023,84.1367
Mon May 1 14:06:16 2023,84.6902
Mon May 1 14:36:16 2023,83.8396
Mon May 1 15:06:16 2023,84.7605
Mon May 1 15:36:16 2023,83.5416
Mon May 1 16:06:16 2023,83.7286
Mon May 1 16:36:16 2023,84.3567
Mon May 1 17:06:16 2023,84.9127
Mon May 1 17:36:16 2023,83.1192
Mon May 1 18:06:16 2023,81.9127
Mon May 1 18:36:16 2023,81.2481
Mon May 1 19:06:16 2023,77.9857
Mon May 1 19:36:16 2023,74.9577
Mon May 1 20:06:16 2023,75.9015
Mon May 1 20:36:16 2023,76.183
Mon May 1 21:06:16 2023,78.635
Mon May 1 21:36:16 2023,76.0136
Mon May 1 22:06:16 2023,76.3456
Mon May 1 22:36:16 2023,76.0722
Mon May 1 23:06:16 2023,76.2509
Mon May 1 23:36:16 2023,76.5579
Tue May 2 00:06:16 2023,76.4866
Tue May 2 00:36:16 2023,75.8899
Tue May 2 01:06:16 2023,76.5541
Tue May 2 01:36:16 2023,76.5981
Tue May 2 02:06:16 2023,76.2225
Tue May 2 02:36:16 2023,76.3658
Tue May 2 03:06:16 2023,76.255
Tue May 2 03:36:16 2023,76.5106
Tue May 2 04:06:16 2023,77.3575
